source_id,comment_text,target_id,created_at
en5bfei,"Reading the source is important. The title is misleading and the article is an example of the media circle jerk where an article is published in The NY Times, someone reads it and writes an article about the article, and then this author reads that article and writes an article about it, where all connection to fact from the original is lost in the multiple translations. From the New York Times piece that this article is loosely based on:> In one initiative examined earlier this year, Department of Homeland Security officials looked at housing migrant children at Guantánamo Bay, Cuba, which has a dormitory facility that has been used in the past to hold asylum seekers. The proposal to house migrant children from the Southwest border there has not gained traction, perhaps because of the optics of housing young people adjacent to terrorism suspects, according to one official who had seen the proposal but was not authorized to discuss it publicly.So, an anonymous source says it was proposed by someone within the DHS bureaucracy (not the White House), and the idea was rejected. Such a bombshell.",bng07p,2019-05-11 20:03:27
en5p85h,It says the DHS looked at it. Doesn't mean it wasn't the WH that suggested they look into it.,en5bfei,2019-05-11 22:11:08
en5bnh1,This is NotTheOnion and not RealNews. If I worried about the source then I wouldn’t quote hillreporter.com ;),en5bfei,2019-05-11 20:05:22
en590uu,Well their international reputation wasn't low enough yet.,bng07p,2019-05-11 19:42:19
en5g2xv,"I'm not really up to date with current events, but wasn't that place closed at some point?",bng07p,2019-05-11 20:44:27
en5os32,"Obama tried, but congress passed a law preventing prisoners there from being moved anywhere else. Still heavily reduced the pop.Trump wrote an evecutive order to keep the place open indefinitely, but as best as I can tell hasn't moved anyone new in.",en5g2xv,2019-05-11 22:06:03
en6iegz,Didn't  Obama shut down Guantanamo?,bng07p,2019-05-12 03:37:19
encr0zw,He kept saying he was going to for years but ultimately he didn't/couldn't. The reason for this is going to vary wildly depending on who you ask. Though IIRC he did decrease the amount of people that were located there but dont quote me on that,en6iegz,2019-05-13 18:19:17
en7dt2m,Nuke the border to create a wall of radiation and also Texas can die,bng07p,2019-05-12 10:50:31
en58ws2,It’s like the next episode of an insane TV show.  Never can predict the level of depravity.,bng07p,2019-05-11 19:41:18
en5tc78,Works for me,bng07p,2019-05-11 22:51:48
en5xnds,"cool, they can hang out with their parents /oofjoke",bng07p,2019-05-11 23:29:22
en59ods,Trump somehow manages to become dumber and more despicable every day.,bng07p,2019-05-11 19:48:02
en5ai4r,"He already keeps them in cages, now he wants to ship them off to a literal war criminal prison",bng07p,2019-05-11 19:55:19
en5ttlh,"Doesn’t mean it wasn’t aliens, either. You can make up whatever story you want, it’s not news.",en5p85h,2019-05-11 22:55:57
en5c0kq,"The description of this sub, in the sidebar:> For **true stories** that are so mind-blowingly ridiculous, that you could have sworn it was an Onion story.",en5bnh1,2019-05-11 20:08:32
ene362s,"""Obama did decrease the amount of people that were located at Guantanamo""- u/DocLeWolf",encr0zw,2019-05-14 00:08:51
en5e2k0,It’s still a true story and the Department of Defence has confirmed that military bases are being looked at as potential sites for housing migrants. Whether you find the headline more ridiculous than the idea really is is up to you.,en5c0kq,2019-05-11 20:26:50
ene3sic,Listen here you little shit,ene362s,2019-05-14 00:15:14
en5n0ag,>still a true story and the Department of Defence has confirmedAn anonymous source. Not the DoD.,en5e2k0,2019-05-11 21:47:09
en5nilu,Actually the DoD did confirm that they are looking into housing migrant children on military bases. Here is another article about it:  not Guantanamo as the headline says but it’s still military bases.,en5n0ag,2019-05-11 21:52:00
