source_id,comment_text,target_id,created_at
euk0hwj,Who lives in it?,cgrel3,2019-07-23 11:30:04
euk13pp,The tide must be out.,euk0hwj,2019-07-23 11:34:35
euk6edy,I know there's a dried up kitchen sponge in there and a snail shell. Don't think there's much life,euk0hwj,2019-07-23 12:12:34
euk1jvz,Me,euk0hwj,2019-07-23 11:37:56
eum3l6z,You mean that’s *not* a Pineapple from under the sea?!,cgrel3,2019-07-23 19:40:49
eumtjo7,Almost,eum3l6z,2019-07-23 22:17:13
euk2ds3,I swear I can see Squidwards Moai house there in the background. To the left.,cgrel3,2019-07-23 11:44:28
eumtt6a,Same,euk2ds3,2019-07-23 22:18:41
eum86v8,date palmgrow very well as a house plantthey just get really big,cgrel3,2019-07-23 20:07:24
euk13w1,Kind of?,cgrel3,2019-07-23 11:34:37
eukiydh,I'm confused if you mean:Kind of? It REALLY looks like a pineapple!orKind of I guess? I don't think so...,euk13w1,2019-07-23 13:36:09
eukdp4g,Probably why one of the names of the  Canary Island date **palm** is 'Pineapple Palm'.  [,cgrel3,2019-07-23 13:01:48
eumtqui,The more you know,eukdp4g,2019-07-23 22:18:20
eul1sqa,What palm tree?,cgrel3,2019-07-23 15:31:33
eumto3g,That's what I said,eul1sqa,2019-07-23 22:17:55
eul1ukh,What is a giant pineapple doing on that beach?,cgrel3,2019-07-23 15:31:54
eumtmz2,Bro idk,eul1ukh,2019-07-23 22:17:44
eultatu,thicc tree,cgrel3,2019-07-23 18:38:25
eumtkhw,Indeed,eultatu,2019-07-23 22:17:21
eun9kl8,They are called pineapple palms... really,cgrel3,2019-07-23 23:52:23
eunqry4,Epic,eun9kl8,2019-07-24 01:38:01
euk781k,Los Santos vibes,cgrel3,2019-07-23 12:18:36
eullbp1,Yep. I can kind of see your point.,eukiydh,2019-07-23 17:28:04
