source_id,comment_text,target_id,created_at
ew45c3c,You need to move,cmrgrh,2019-08-06 14:52:55
ew44s9n,...and 2 bunnies :),cmrgrh,2019-08-06 14:46:52
ew4cwtm,"Those bunnies said ""sit"" and the good boys listened.",ew44s9n,2019-08-06 16:12:22
ew44s73,"They sell them, right? Otherwise... *creepy*",cmrgrh,2019-08-06 14:46:51
ew4fngv,"Well, they have to keep score somehow.",cmrgrh,2019-08-06 16:40:14
ew49x9m,That’s fucking creepy,cmrgrh,2019-08-06 15:41:55
ew45bza,This is terrifying.,cmrgrh,2019-08-06 14:52:52
ew4ftba,Had a neighbor who did something like this with mannequin heads on sticks. I’m thankful I no longer live in that neighborhood.,cmrgrh,2019-08-06 16:41:54
ew47hdm,Pet Sematary,cmrgrh,2019-08-06 15:16:16
ew4g6z9,"Howdy neighbor! I drive past this house all the time, you forgot to showcase the gumball machine lights flanking the driveway that the trees are hiding. My kid loves going by here on the way to Sakura!!",cmrgrh,2019-08-06 16:45:43
ew4i43e,"10,000 years from now, when the human race is long gone, these are going to confuse the shit out of the aliens visiting our planet.",cmrgrh,2019-08-06 17:05:08
ew4f8ph,"Plot twist, it's all their past dogs, mummified and encased, that way they are always there to greet them.",cmrgrh,2019-08-06 16:36:03
ew486nh,"these arent statues, theyre just more bold versions of the old ladies from Coraline",cmrgrh,2019-08-06 15:23:50
ew4m43i,you could say that driveway is looking kinda.....ruff,cmrgrh,2019-08-06 17:45:33
ew4a5jz,Florida has their own edition of old people,cmrgrh,2019-08-06 15:44:17
ew4s8wi,One for each dog they’ve run over?,cmrgrh,2019-08-06 18:46:52
ew54i1i,“I’ll take your entire stock!”,cmrgrh,2019-08-06 21:31:13
ew49nie,r/atbge,cmrgrh,2019-08-06 15:39:08
ew4b6ie,Beware of Statue,cmrgrh,2019-08-06 15:54:47
ew4cdaf,Does she sell those or just buying them up from somewhere?,cmrgrh,2019-08-06 16:06:51
ew4l99o,"Guys, there's more trees, you don't have to wait in line..",cmrgrh,2019-08-06 17:36:57
ew4lhrl,Its a doggone shame,cmrgrh,2019-08-06 17:39:21
ew4o9b1,I like how the little rabbits keep them in line!!,cmrgrh,2019-08-06 18:07:07
ew50rwm,"Your neighbor has.... ""issues""...",cmrgrh,2019-08-06 20:38:17
ew56y28,Man I thought they were bowling pins until I zoomed in.,cmrgrh,2019-08-06 22:04:21
ew575o3,i think this would work in r/hmmm,cmrgrh,2019-08-06 22:07:07
ew5in8s,r/oddlyterrifying,cmrgrh,2019-08-07 00:19:53
ew5og5x,*the Dreaming City dislikes this*,cmrgrh,2019-08-07 01:26:37
ew5p0pz,I'm selling my house and moving soon and really haven't wanted to move somewhere with an HOA. This is a great argument to move somewhere with an HOA,cmrgrh,2019-08-07 01:33:07
ew5vt6g,They're good boiz,cmrgrh,2019-08-07 02:53:12
ew60ekm,This land is for the best of boys,cmrgrh,2019-08-07 03:53:32
ew62b3q,I guess you could say it’s an Isle of Dogs,cmrgrh,2019-08-07 04:21:10
ew65w9g,"41 comments and nobody said ""huh, ruff neighbourhood?""",cmrgrh,2019-08-07 05:18:48
ewjzmyk,Here's another view further down the street:  ,cmrgrh,2019-08-10 22:01:10
ew496ww,"Did you know Irish Wolfhounds, the tallest breed, are 30 to 35 inches tall?",cmrgrh,2019-08-06 15:34:25
ew45ge7,I strangely want to do this with my house..,cmrgrh,2019-08-06 14:54:13
ew4lyog,r/trashy,cmrgrh,2019-08-06 17:44:03
ew5oi2e,"How is that trashy, in any way?",ew4lyog,2019-08-07 01:27:13
ew44s7o,"""Super Freak"" ""Super Freak"" she super freaky.",cmrgrh,2019-08-06 14:46:51
ew49uin,Not a lot of artistic people here huh? Man that’s cool as fuck.,cmrgrh,2019-08-06 15:41:08
