source_id,comment_text,target_id,created_at
f13vdwk,How did u manage,d7rkx4,2019-09-22 15:25:04
f1443jh,Freeze the water bottle and peel off the plastic?,f13vdwk,2019-09-22 16:21:39
f1440a1,Why?,d7rkx4,2019-09-22 16:21:07
f15eco4,The real question: WHY NOT??,f1440a1,2019-09-22 21:47:49
f146vqx,r/hydrohomies No container needed anymore.,d7rkx4,2019-09-22 16:38:35
f144z4z,now put it in your ass,d7rkx4,2019-09-22 16:26:40
f15ek8c,too late. already smashed it on the ground,f144z4z,2019-09-22 21:49:44
f15xm41,i would've tho,f144z4z,2019-09-23 00:22:14
f149fdm,How did u peel the plastic without damaging the ice,f1443jh,2019-09-22 16:54:58
f15efzx,yes,f1443jh,2019-09-22 21:48:39
f16btdw,you wish i got more upvotes now don’t ya,f15xm41,2019-09-23 03:04:05
f15efd6,just did i guess. it's pretty soft plastic,f149fdm,2019-09-22 21:48:30
f1aeuoi,well i smashed it on the concrete immediately after i posted,f16btdw,2019-09-24 02:28:50
