source_id,comment_text,target_id,created_at
AwxGZwlfi,林子大了，什么鸟都有啊,AwqYakTJT,2014-02-13 17:02:05
AwttOdwZa,太牛了吧,AwqYakTJT,2014-02-13 06:18:37
AwruvgWBT,世界肿么了？？,AwqYakTJT,2014-02-13 01:14:50
BjaYVE7pl,[思考],AwqYakTJT,2014-08-20 18:03:27
BhUQkmh0W,看着这张脸。。。亲的下去。。也是勇气。。。。。年纪小玩老的 年纪大了玩小的，这个女的才是赢家~~~你们误会老爷爷了,AwqYakTJT,2014-08-12 11:07:59
AwXPTtmi4,这。。。？！？！,AwqYakTJT,2014-02-16 11:35:25
AwSTstRar,这才是真正的柏拉图,AwqYakTJT,2014-02-15 23:00:29
AwOSy9DWa,[哈哈][哈哈][哈哈],Awvg1tsmb,2014-02-15 12:47:15
AwIF80WFt,这个～,AwIlR095h,2014-02-14 20:57:42
AwIlR095h,应该有别样温馨。尊老爱幼最和谐了！,AwxHyEjtp,2014-02-14 20:10:13
AwFjAsW8i,真爱吧,AwqYakTJT,2014-02-14 12:26:24
AwEMbpdtr,哦多克！[抓狂],AwqYakTJT,2014-02-14 11:04:05
AwBkSE6AS,[鼓掌][鼓掌][鼓掌],AwqYakTJT,2014-02-14 02:18:36
AwAWavZE3,有病啊！,AwqYakTJT,2014-02-14 01:17:43
AwAwKo5JA,我再也不相信愛了 我不要啊！,AwqYakTJT,2014-02-14 00:15:05
AwArCp04G,管你是神马屎人、鸟人，我都要骂你没商量…老东西：放开那姑娘，不要祸害未成年少女…[大便]🙊那位妹子：你脑袋被驴踢了，有毛病吧你？你是给你爸你妈找了个爹吧？真他妈恶心！[怒骂][怒骂],AwqYakTJT,2014-02-14 00:02:26
AwAgYB68d,[衰],AwqYakTJT,2014-02-13 23:36:14
AwAdJm20B,我表示，不理解～,AwqYakTJT,2014-02-13 23:28:14
AwzrW9DPB,[生病][生病][衰],AwqYakTJT,2014-02-13 21:30:30
AwzhwvRBb,好噁心啊！[抓狂][吐],AwqYakTJT,2014-02-13 21:04:49
AwzgGdbJ7,狠！我懂的了什么是爱情不分年龄和时间国界限制,AwqYakTJT,2014-02-13 21:02:44
AwyGHcWNX,没有年龄上的代沟？！,AwqYakTJT,2014-02-13 19:34:06
AwyBHfBBJ,有病。。,AwqYakTJT,2014-02-13 19:21:47
Awyxk4Qhi,这个世界怎么了。。,AwqYakTJT,2014-02-13 19:10:57
AwyuZvef3,你们这么吊你爸妈知道么,AwxRHcgyq,2014-02-13 19:05:15
AwydYkHJh,"我才小你 18 歲耶 , 你要不要考慮下 ? [拜拜][拜拜] 哈哈哈 !",AwqYakTJT,2014-02-13 18:23:20
Awy3DFgSv,妹子脑洞真大,AwqYakTJT,2014-02-13 17:57:53
AwxUaxSqQ,[衰]这个是真爱啊。。。,AwqYakTJT,2014-02-13 17:34:33
AwxT595tG,不能更可怕[衰],AwqYakTJT,2014-02-13 17:31:52
AwxRHcgyq,救命啊,AwxR7oNb9,2014-02-13 17:28:27
AwxR7oNb9,[生病][生病]可怕,AwqYakTJT,2014-02-13 17:27:02
AwxHyEjtp,原来年龄真的不是问题。,AwqYakTJT,2014-02-13 17:03:29
AwxGnDHiW,[衰],AwqYakTJT,2014-02-13 17:00:35
Awx1fhEXX,[晕][生病][吃惊][汗][睡觉]除了震惊还是很震惊～每次看都觉得是真的吗真的吗[吐] 好励志的赶脚你们能相信爱情了吧！,AwqYakTJT,2014-02-13 15:19:13
AwwOEBzax,老头子是禽兽。,Awupxe8yV,2014-02-13 14:48:13
AwwLAgMNQ,[挖鼻屎]看不上,Awr2XDmba,2014-02-13 14:40:39
AwwFyeJRP,[惊恐],AwwDomqNB,2014-02-13 14:25:46
AwwDomqNB,20,Awr2XDmba,2014-02-13 14:20:28
AwwCqnJgy,这孩子咋想的,AwqYakTJT,2014-02-13 14:18:05
AwwCa7hkV,哇 你看我才小你18岁耶[害羞],Awwri6eHU,2014-02-13 14:17:26
Awwzo6PUq,我今年17…[口罩],Awr2XDmba,2014-02-13 14:10:36
AwwyrmPFN,明明是爷孙啊！！！[吃惊][吃惊][吃惊],AwqYakTJT,2014-02-13 14:08:15
AwwxUwdV5,噢靠,AwqYakTJT,2014-02-13 14:06:58
Awwsi7wNx,[吃惊][吃惊],AwqYakTJT,2014-02-13 13:53:07
