source_id,comment_text,target_id,created_at
A5Y9L95HT,粉丝精灵转发。,A1gnYd9VU,2013-08-22 22:46:07
A5FmhdmG7,微博粉丝精灵转发。,A1gnYd9VU,2013-08-20 22:54:50
A5DG91I9w,微博转发。,A1gnYd9VU,2013-08-20 18:38:16
A5oLEC8r0,微博转发。,A1gnYd9VU,2013-08-19 04:40:38
A1wypBDld,珍惜所有,A1gnYd9VU,2013-07-24 17:08:47
A1pxS9vdL,"恩,",A1gnYd9VU,2013-07-23 23:18:10
A1peHnL8c,晚安，亲,A1gnYd9VU,2013-07-23 22:30:57
A1ol5yO3x,早睡早起精神好呗,A1gnYd9VU,2013-07-23 20:13:57
A1mibeorb,.,A1gnYd9VU,2013-07-23 15:01:19
A1lWk2CQM,[飞吻],A1gnYd9VU,2013-07-23 14:07:28
A1lSTCrXr,！,A1gnYd9VU,2013-07-23 13:59:01
A1kW7j44k,每次安全卫士的晚安话题说的都非常好呢,A1gnYd9VU,2013-07-23 11:34:12
A1kBU8oAD,感谢,A1gnYd9VU,2013-07-23 10:44:25
A1k3BqQf7,[围观],A1gnYd9VU,2013-07-23 09:19:54
A1jXAf725,来过，得到过，拥有过，珍惜过,A1gnYd9VU,2013-07-23 09:05:05
A1jRmBqWy,给自己一个美好人生,A1gnYd9VU,2013-07-23 08:49:46
A1jCz9QkB,众生万物一律平等自然规律不可逆转,A1gnYd9VU,2013-07-23 08:13:17
A1jAaxfhh,早安......,A1gnYd9VU,2013-07-23 08:07:24
A1jzG71QB,嗯嗯，就算让你占有，我们又有几个年月，有时回忆更能让你我铭记于心，久久回味无穷。,A1gnYd9VU,2013-07-23 08:06:10
A1js775AY,[手套],A1gnYd9VU,2013-07-23 07:47:33
A1jqZolNX,早安,A1gnYd9VU,2013-07-23 07:44:47
A1jmv4bxL,365,A1gnYd9VU,2013-07-23 07:33:43
A1ji6j8n8,[微风],A1gnYd9VU,2013-07-23 07:22:53
A1jhZwv4d,对生活要感恩！,A1gnYd9VU,2013-07-23 07:22:36
A1jfJbtf3,好好珍惜眼前人。,A1gnYd9VU,2013-07-23 07:17:02
A1jdJlZOB,说的好啊,A1gnYd9VU,2013-07-23 07:12:06
A1jd62G07,[威武][兔子],A1gnYd9VU,2013-07-23 07:10:33
A1j0Mb6L8,来过，一起走过，不曾后悔,A1gnYd9VU,2013-07-23 06:40:12
A1iUvk72O,拥有过 珍惜过,A1gnYd9VU,2013-07-23 06:24:44
A1iTni0cz,很不错,A1gnYd9VU,2013-07-23 06:21:57
A1iRY7zTj,悲…,A1gnYd9VU,2013-07-23 06:18:30
A1iGM1L24,感恩，我们曾经相遇过！,A1gnYd9VU,2013-07-23 05:50:56
A1iC7BHvA,是的,A1gnYd9VU,2013-07-23 05:39:28
A1ihyhp7D,..死了才会明白..活着都只会执迷不悟..个人有各人的无药可救..,A1gnYd9VU,2013-07-23 04:48:47
A1id1hoMD,晚安,A1gnYd9VU,2013-07-23 04:37:37
A1hVkDk5Y,实话,A1gnYd9VU,2013-07-23 03:54:03
A1hRa9919,晚安,A1gnYd9VU,2013-07-23 03:43:46
A1hyLeuOe,晚安。。。,A1gnYd9VU,2013-07-23 02:58:26
A1hclxHXr,本来就是,A1gnYd9VU,2013-07-23 02:03:12
A1h6NzOO2,同感,A1gnYd9VU,2013-07-23 01:49:33
