source_id,comment_text,target_id,created_at
z2nL0y9Ko,你可以去打酱油了。,z1bnvvb13,2012-10-27 09:51:05
z1YtQBkc4,好阔爱的大叔，如果我们还在读书，一定组团去隔壁观摩下。,z1bwlDvaQ,2012-10-24 17:30:07
z1utAawae,[鼓掌],z1byUCfKO,2012-10-21 13:07:05
z1sPMq3ug,[嘻嘻][嘻嘻]激发购物欲望！,z1pHRaWBd,2012-10-21 08:56:17
z1q453PRn,搞笑啊,z1bnvvb13,2012-10-21 01:53:15
z1pHRaWBd,哈哈,z1bnvvb13,2012-10-21 00:58:31
z1oFeAMID,走哇[嘻嘻],z1bnvvb13,2012-10-20 22:19:20
z1nhunUIx,跌了还换？[懒得理你],z1bydtrBl,2012-10-20 18:48:02
z1n8BA8TF,你懂滴,z1bnvvb13,2012-10-20 18:26:10
z1lF8tSDG,打酱油。。[围观],z1bnvvb13,2012-10-20 14:40:50
z1lEQurdg,[哈哈][哈哈][哈哈],z1bsnsKvJ,2012-10-20 14:40:05
z1kxQE2ph,过年回来。[酷],z1bxR3uv0,2012-10-20 11:50:08
z1jIZrY6Y,换早了,z1bnvvb13,2012-10-20 09:44:50
z1jhKpqAP,[抓狂],z1bnvvb13,2012-10-20 08:37:41
z1iW5ojc3,[哈哈],z1bnvvb13,2012-10-20 07:44:20
z1fTrxZI0,OMG,z1bnvvb13,2012-10-19 23:59:36
z1fMLxRWt,部分HK人民不用再自我陶醉了[睡觉],z1e2jCyAS,2012-10-19 23:43:06
z1fBSCVRt,还要去血拼啊![嘻嘻],z1bnvvb13,2012-10-19 23:16:19
z1fAOsUig,两小魔怪 〜HK买嘢又更超值啦〜[偷笑][偷笑],z1bnvvb13,2012-10-19 23:13:40
z1fn90Ip6,"我最最亲爱的师姐,我已经听说了月底是吧?还有点点港币帮我用了呗[偷笑][亲亲][爱你]",z1bMmc5ad,2012-10-19 22:40:00
z1f9eaP0A,哈哈！下个月走起来 [哈哈][哈哈],z1bnvvb13,2012-10-19 22:05:41
z1f4flPk5,哈哈哈,z1bBnmThR,2012-10-19 21:53:27
z1eY51MoG,走起。。什么时候一齐去看爷爷奶奶。,z1clj40cv,2012-10-19 21:38:13
z1eKegNq7,今天刚去换了港币，的确是破80了,z1bAHqKRO,2012-10-19 21:04:09
z1eHJ9Uuj,再跌再跌,z1eC2kJpv,2012-10-19 20:57:58
z1eC2kJpv,3倍啊，怎么赶的上这通胀的速度啊，人民币像橘子皮,z1dM5uw5O,2012-10-19 20:43:58
z1esiEmhD,go go go,z1bDqbtpv,2012-10-19 20:20:00
z1erm7hBo,除了香港商家，更多香港市民应该会更抵触大陆客了。不过破八是好事[嘻嘻],z1bseBAVV,2012-10-19 20:17:39
z1eogDpCf,尽情的花吧[嘻嘻],z1bnvvb13,2012-10-19 20:10:03
z1elJq7OP,哇塞 这次去着了！下周多败点,z1bnvvb13,2012-10-19 20:03:48
z1eiDFGVv,[汗][汗],z1bnvvb13,2012-10-19 19:56:11
z1ehLkMWN,[偷笑]我要嗱嗱林办翻个证去打酱油先得,z1bnvvb13,2012-10-19 19:54:01
z1egU93k8,[偷笑][偷笑][偷笑][偷笑][偷笑]我就是打酱油和买盐买面,z1bnvvb13,2012-10-19 19:51:54
z1eb6t65I,明天去打酱油，有人同行吗？,z1bnvvb13,2012-10-19 19:37:37
z1e2jCyAS,多印三倍呢……恶性循环走不出来了,z1dM5uw5O,2012-10-19 19:15:57
z1dXQskR0,中国人啊,z1bnvvb13,2012-10-19 19:04:57
z1dX09VIW,刚从香港回来啊！怎么不早点跌啊！,z1dOIAj6b,2012-10-19 19:02:52
z1dUfloVL,HK的物价会不会越来越高呢？！,z1bnvvb13,2012-10-19 18:56:03
z1dTuFweS,/哇。。,z1boRpXMM,2012-10-19 18:54:14
z1dOIAj6b,！！,z1diC7IvR,2012-10-19 18:42:28
z1dN4ju1n,等住恁爷,z1dghBf4W,2012-10-19 18:38:24
z1dM5uw5O,人民币升值不是好事哦，听化工巨头公司的朋友说他们明年预算是按5.8的汇率做的。上海印币厂明年生产任务是今年3倍！明年日子不好过阿。,z1ds24Kia,2012-10-19 18:35:57
z1dITvePS,去广州好想顺便去香港啊,z1bnvvb13,2012-10-19 18:28:07
z1dFZwVea,尼玛钱包里还有点儿没花早他妈去兑了多好！！！,z1bnvvb13,2012-10-19 18:20:58
z1dFxaQy1,我要去香港[太开心],z1bnvvb13,2012-10-19 18:19:50
z1dAa9xqz,[懒得理你]则通行证过期前可以再考虑去一次,z1dghBf4W,2012-10-19 18:06:33
z1dwPCnk8,人民币开挂了？不是好兆头,z1bnvvb13,2012-10-19 17:58:22
z1dsp6MHX,吹啦，今日睇新闻都80.6[挖鼻屎],z1bDPiFt3,2012-10-19 17:47:28
z1ds24Kia,心痒的来,z1d6VARuS,2012-10-19 17:46:34
