source_id,comment_text,target_id,created_at
zrfAU4YHg,"孤标傲世偕谁隐,一样花开为底迟？",zlLpC9KEq,2013-04-08 23:01:49
zr26n0clF,一样花开为底迟？,zlLpC9KEq,2013-04-07 12:40:51
zqSsvgwg3,[心],zlLpC9KEq,2013-04-06 12:07:57
zquAAgpxj,永远的林妹妹,zlLpC9KEq,2013-04-03 23:21:56
zoE0w5i8U,一样花开为底迟,zlLpC9KEq,2013-03-22 19:39:56
zogNdi4zp,一朝春盡紅顏老，花落人亡兩不知。小旭之後，再無林妹妹。最後句，應該是“解語何妨話片時”吧。,zlLpC9KEq,2013-03-20 08:33:59
zoby2tfAr,林妹妹菊花诗——《问菊》,zlLpC9KEq,2013-03-19 19:12:51
znLQXeXiI,这是那天诸多赏菊诗中唯一绕齿生香久不能罢的一首。一样花开 为底迟。,zlLpC9KEq,2013-03-17 01:48:03
znwQs0hwf,柔柔弱弱，让人怜惜，所以深忆,zlLpC9KEq,2013-03-15 11:35:36
zmL2obYM8,看不懂,zlRz8B9Lj,2013-03-10 09:53:08
zmDifrheb,"孤标傲世偕谁隐,一样花开为底迟?",zlReRjWDG,2013-03-09 14:10:16
zmmn1oUHg,"休言举世无谈者,解语何妨片语时。",zlLpC9KEq,2013-03-07 19:05:19
zmgU7jGxW,"休言举世无谈者,解语何妨片语时。",zlLpC9KEq,2013-03-07 05:10:22
zm4w1tn4M,永远的林妹妹～,zlLpC9KEq,2013-03-05 21:38:01
zm3gWdO99,偶为黛玉狂~[哈哈],zlLpC9KEq,2013-03-05 18:28:09
zlZSlgek1,她就是为林妹妹而生！或者说，她就是林妹妹！,zlLpC9KEq,2013-03-05 09:49:18
zlZcQ7SQo,世上再无这样的女子,zlLpC9KEq,2013-03-05 08:07:04
zlZ9yeEK6,世间哪里还找得到这样的人儿！,zlS9P2bin,2013-03-05 07:58:58
zlYZdDY8A,为图而转，晓旭之后再无黛玉…,zlRz8B9Lj,2013-03-05 07:33:30
zlVZHAlx7,花谢花飞花满天，红消香断有谁怜,zlRaO9r4T,2013-03-04 23:56:25
zlVCehKQy,喜欢她,zlSeU0oNC,2013-03-04 22:58:38
zlVzgcuhO,[呵呵],zlRz8B9Lj,2013-03-04 22:51:17
zlVxpwI9y,黛玉故去，红楼梦就没看了，忽的觉得无了兴致。这般偏执。,zlSsH8dGH,2013-03-04 22:46:43
zlVorteus,世间哪里还找得到这样的人儿！,zlS9P2bin,2013-03-04 22:24:38
zlVd8ecm8,独一无二 ,zlRz8B9Lj,2013-03-04 21:56:48
zlV7z5GC4,我心中永远的颦儿，被影响十年了吧，最后一句解语何妨话片迟,zlLpC9KEq,2013-03-04 21:43:06
zlV2ErbBd,[心],zlRwHCb0d,2013-03-04 21:30:58
zlUXu8hB1,我隐藏的太深，其实我就是[挖鼻屎]你没还察觉吧,zlLpC9KEq,2013-03-04 21:18:15
zlURDfYCq,最美的林妹妹,zlLpC9KEq,2013-03-04 21:03:48
zlUIyoqmJ,潇湘妃子,zlRz8B9Lj,2013-03-04 20:41:26
zlUzPA8B8,我心中永远的林黛玉，无人能越,zlLpC9KEq,2013-03-04 20:19:59
zlUtDv57m,等什麼時候，天上再掉下一個林妹妹，，，，，,zlRaO9r4T,2013-03-04 20:04:40
zlUqPqiCf,世间哪里还找得到这样的人儿！,zlReRjWDG,2013-03-04 19:57:48
zlUpuo13r,晓旭之后再无黛玉！,zlRz8B9Lj,2013-03-04 19:54:30
zlUoXzPMx,回去了,zlLpC9KEq,2013-03-04 19:53:11
zlUnuzVhd,因为短暂，所以经典。,zlReRjWDG,2013-03-04 19:49:35
zlUc6DK7q,超爱她那眼神[得意地笑],zlLpC9KEq,2013-03-04 19:21:32
zlU9x75aL,你老有内涵的么,zlLpC9KEq,2013-03-04 19:15:10
zlU4lzyu7,不太明白。,zlS9P2bin,2013-03-04 19:02:23
zlU17x6bh,昨晚刚看完36集老版红楼梦，精彩！尤其是黛玉葬花一段，无语泪流，着实精典！确实如友人所说，人在每一个年龄段重看红楼梦，都有不一样的感悟！,zlRz8B9Lj,2013-03-04 18:54:28
zlTZMfMoL,再无,zlRaO9r4T,2013-03-04 18:51:09
zlTMcmdRA,不知道怎么说了，看了那么多再拍的，没有看到一部好的,zlSs0CSSW,2013-03-04 18:17:42
zlTzL6P3J,确实难觅,zlS9P2bin,2013-03-04 17:47:00
zlTuE38NF,我的女儿指着林黛玉说这个阿姨是谁？好漂亮。我说她像不像妈妈？宝贝说她不是这个世界的。可是，宝贝你知道吗？当年你爸爸看妈妈的第一眼就问我你为什么不参加红楼梦选秀？你可以演林黛玉。宝贝，你知道妈妈为你付出的是什么了吧。？,zlS9P2bin,2013-03-04 17:34:27
zlT9eodWv,虽说看不太懂，但是隐隐觉着很有意境。,zlLpC9KEq,2013-03-04 16:41:39
zlT7q7NYI,大爱黛玉,zlS9P2bin,2013-03-04 16:37:14
zlT4pn6SO,花谢花飞花满天，红消香断有谁怜？,zlLpC9KEq,2013-03-04 16:29:49
zlT27yCjM,[太开心],zlRz8B9Lj,2013-03-04 16:24:09
zlSYE74Kq,红颜薄命啊,zlS9P2bin,2013-03-04 16:15:37
zlSYC2Zyp,晓旭之后，再无林妹妹……,zlLpC9KEq,2013-03-04 16:15:32
zlSVkrBzN,世间哪里还找得到这样的人儿！,zlLpC9KEq,2013-03-04 16:07:27
zlSVf8B6C,[可爱],zlS9P2bin,2013-03-04 16:07:13
zlSOXo6mu,情·意·境 恰到好处！！！,zlRz8B9Lj,2013-03-04 15:51:43
zlSOGyiRG,如何心思空牵挂。,zlS9P2bin,2013-03-04 15:51:03
zlSICFfh3,黛玉。。,zlLpC9KEq,2013-03-04 15:36:09
zlSHCCN5O,[呵呵],zlLpC9KEq,2013-03-04 15:33:41
zlSHB8n5Y,"欲讯秋情众莫知,喃喃负手叩东篱",zlLpC9KEq,2013-03-04 15:33:37
zlSDlxDhn,世间哪里还找得到这样的人儿！,zlLpC9KEq,2013-03-04 15:23:07
zlSyNn9ah,问世间情为何物~直教人生死相许~,zlLpC9KEq,2013-03-04 15:11:56
zlSxu7m1R,晓旭之后，再无林妹妹……,zlRaO9r4T,2013-03-04 15:08:42
