source_id,comment_text,target_id,created_at
yBWNe6C4J,永远爱！！！！！！！！！！！！！！[心][心][心][心][心][心][心][心][心][心][心][心][心][心][心][心][心][心][心][心][心][心][心][心][心][心][good][good][good],yyHpl5z7q,2012-09-15 08:39:02
yyZWNzfwc,你看评论！,yyHpl5z7q,2012-08-26 23:09:57
yyZQ4kPJY,爱E神！[爱你]骂E神地他妈都给我去死！[怒],yyHpl5z7q,2012-08-26 22:53:22
yyQH112wN,[心],yyHpl5z7q,2012-08-25 23:36:20
yyO8kzaxW,杀死人的须根[酷],yyHpl5z7q,2012-08-25 17:05:24
yyNo10qB9,[爱你],yyIR2grlw,2012-08-25 15:11:17
yyMM6lo1c,[good][赞],yyHpl5z7q,2012-08-25 13:37:52
yyMbrqKUN,[心][心][心],yyHpl5z7q,2012-08-25 12:07:34
yyLXQmQYl,喜欢,yyHpl5z7q,2012-08-25 11:34:04
yyLXuuE2Y,？啊？,yyHqXwuHq,2012-08-25 11:33:12
yyLWKpYRN,[爱你][爱你][爱你],yyJMk4F4i,2012-08-25 11:31:22
yyLL0CMSt,歌神,yyHpl5z7q,2012-08-25 11:02:26
yyLKNkZ1x,[爱你][爱你][爱你][爱你][爱你][爱你][晕][爱你],yyJMk4F4i,2012-08-25 11:01:55
yyLEnA3r9,陈奕迅！！,yyJMk4F4i,2012-08-25 10:46:07
yyLqMf4kB,我QQ头像就是用的这张照片。,yyHpl5z7q,2012-08-25 10:12:36
yyLhBpRLO,好吧，歌神,yyHpl5z7q,2012-08-25 09:50:00
yyLgugEQV,大爱Eason''',yyIeU1TFT,2012-08-25 09:47:15
yyLcrqKRY,"eason,大爱",yyJMk4F4i,2012-08-25 09:37:17
yyKZ4z4Pg,我都不解释`,yyHpl5z7q,2012-08-25 09:04:21
yyKK1FOc9,这胡子越看越喜欢啊,yyK5I6bYo,2012-08-25 08:27:16
yyKDQo9u1,果断的转，爱亦神,yyJMk4F4i,2012-08-25 08:12:03
yyKCUdG7X,自成风格[爱你],yyIeU1TFT,2012-08-25 08:09:44
yyKv0AuLs,陈奕迅！！被他的歌感动过的爱他转发吧！！,yyJMk4F4i,2012-08-25 07:50:16
yyKun0TZR,不可小看的Eason。,yyJMk4F4i,2012-08-25 07:48:42
yyKqkqKX6,[爱你][爱你],yyJMk4F4i,2012-08-25 07:38:45
yyKceESGT,这胡子，黏上去的吧。。,yyJMk4F4i,2012-08-25 07:04:02
yyK5I6bYo,不用多说，我爱你,yyHpl5z7q,2012-08-25 06:47:57
yyK2ldypI,陈奕迅！！被他的歌感动过的爱他转发吧！！,yyJMk4F4i,2012-08-25 06:39:39
yyJYevpGj,大爱,yyJMk4F4i,2012-08-25 06:29:32
yyJTwgEMR,[心],yyJMk4F4i,2012-08-25 06:17:55
yyJT76yLx,感动过,yyHpl5z7q,2012-08-25 06:16:55
yyJSAA4LF,歌神第三代。。,yyJMk4F4i,2012-08-25 06:15:38
yyJSzskzc,[亲亲],yyJMk4F4i,2012-08-25 06:15:34
yyJMk4F4i,陈奕迅！！被他的歌感动过的爱他转发吧！！,yyHpl5z7q,2012-08-25 06:00:12
