source_id,comment_text,target_id
A5u2r3a9U,靠？！这消息太劲爆！,A5p0SsVY7
A5tEutMrl,卧槽开玩笑的吧,A5qvAmJi8
A5sElzKHz,[衰] 索尼都破产啦！,A5sl6DX5d
A5sl6DX5d,"不创新只能死在沙滩上,还是有点突然。。。",A5nqsedz2
A5sgbsaII,假新闻,A5qvAmJi8
A5sbpDGqb,纳尼？,A5qvAmJi8
A5s8OAfNn,这是怎么回事？,A5qvAmJi8
A5rOMmgys,[睡觉]别逗了,A5re5lzaI
A5rMrgdyu,索尼破产？？,A5nqsedz2
A5rKnB4yP,索尼破产？？,A5nqsedz2
A5rJDvYWX,不是已经辟谣了吗,A5qvAmJi8
A5rx15HNd,假的，官方已僻谣,A5nFNqRln
A5rou8tCQ,这不是真的！！！,A5olWckay
A5re5lzaI,[打哈气]别逗了，索尼卯足劲发力安卓，怎么会破产。,A5qvAmJi8
A5rbLt9Om,[围观],A5qBkqLqo
A5raUiOQs,这个新闻相当有爆炸性呀,A5qvAmJi8
A5r98kvk2,索尼破产？？,A5nqsedz2
A5r3tAMVB,恭喜 索尼破产哈哈,A5nFNqRln
A5r3sa2ge,兄弟 把你的v去掉吧 心酸,A5r2ouBci
A5r2ouBci,这位邓国伟先生要惨了，还是加V的，会不会被抓进去？说严重点这属于经济犯罪啊。,A5qR3xA0I
A5r1i1ctN,希望是真的，国产电器企业机会就是大大滴，最好去收购它[笑哈哈][给力][哈哈],A5qvAmJi8
A5r1f2yf4,这种事，联想最拿手[哈哈]。。赶紧把翔尼拿下。。,A5qvAmJi8
A5r0xgkBs,索尼破产？？,A5nqsedz2
A5r0hjNyy,(⊙o⊙)…,A5olWckay
A5qY289rR,索尼手机不是很好看啊！,A5nqsedz2
A5qURDdyV,明显的谣言居然还有人会相信？人家都已经出来辟谣了！炒作真低级...[怒][怒],A5qIglDEJ
A5qSMdRng,他和手机索尼不是一个公司,A5qvAmJi8
A5qR3xA0I,谣言止于智者.,A5qFjaR5k
A5qQLxQxg,额。。sony居然。。,A5qvAmJi8
A5qQk34wk,谣言而已,A5qOUyiX5
A5qPGqNVT,索尼破产？？,A5nqsedz2
A5qOUyiX5,新的研发模式，生产模式，销售模式，倒逼着老牌硬件产商要么加速转型，要么死掉。,A5qvAmJi8
A5qNB4AVx,驱动之家新闻没有看到呀,A5nqsedz2
A5qNrwRrJ,刚刚问了下度娘，是谣言！！[挖鼻屎][吃惊],A5qvAmJi8
A5qMjvuLK,已经宣布是谣言,A5qLXFRjd
A5qLXFRjd,别去收购，让日企破产,A5qvAmJi8
A5qLqgEt9,感觉就和华强北的公司跑路了一样突然~~~,A5qvAmJi8
A5qK8w47y,假消息吧。这,A5qvAmJi8
A5qJIc2eu,考虑一下啊,A5qvAmJi8
