source_id,comment_text,target_id
AwxGZwlfi,林子大了，什么鸟都有啊,AwqYakTJT
AwttOdwZa,太牛了吧,AwqYakTJT
AwruvgWBT,世界肿么了？？,AwqYakTJT
BjaYVE7pl,[思考],AwqYakTJT
BhUQkmh0W,看着这张脸。。。亲的下去。。也是勇气。。。。。年纪小玩老的 年纪大了玩小的，这个女的才是赢家~~~你们误会老爷爷了,AwqYakTJT
AwXPTtmi4,这。。。？！？！,AwqYakTJT
AwSTstRar,这才是真正的柏拉图,AwqYakTJT
AwOSy9DWa,[哈哈][哈哈][哈哈],Awvg1tsmb
AwIF80WFt,这个～,AwIlR095h
AwIlR095h,应该有别样温馨。尊老爱幼最和谐了！,AwxHyEjtp
AwFjAsW8i,真爱吧,AwqYakTJT
AwEMbpdtr,哦多克！[抓狂],AwqYakTJT
AwBkSE6AS,[鼓掌][鼓掌][鼓掌],AwqYakTJT
AwAWavZE3,有病啊！,AwqYakTJT
AwAwKo5JA,我再也不相信愛了 我不要啊！,AwqYakTJT
AwArCp04G,管你是神马屎人、鸟人，我都要骂你没商量…老东西：放开那姑娘，不要祸害未成年少女…[大便]🙊那位妹子：你脑袋被驴踢了，有毛病吧你？你是给你爸你妈找了个爹吧？真他妈恶心！[怒骂][怒骂],AwqYakTJT
AwAgYB68d,[衰],AwqYakTJT
AwAdJm20B,我表示，不理解～,AwqYakTJT
AwzrW9DPB,[生病][生病][衰],AwqYakTJT
AwzhwvRBb,好噁心啊！[抓狂][吐],AwqYakTJT
AwzgGdbJ7,狠！我懂的了什么是爱情不分年龄和时间国界限制,AwqYakTJT
AwyGHcWNX,没有年龄上的代沟？！,AwqYakTJT
AwyBHfBBJ,有病。。,AwqYakTJT
Awyxk4Qhi,这个世界怎么了。。,AwqYakTJT
AwyuZvef3,你们这么吊你爸妈知道么,AwxRHcgyq
AwydYkHJh,"我才小你 18 歲耶 , 你要不要考慮下 ? [拜拜][拜拜] 哈哈哈 !",AwqYakTJT
Awy3DFgSv,妹子脑洞真大,AwqYakTJT
AwxUaxSqQ,[衰]这个是真爱啊。。。,AwqYakTJT
AwxT595tG,不能更可怕[衰],AwqYakTJT
AwxRHcgyq,救命啊,AwxR7oNb9
AwxR7oNb9,[生病][生病]可怕,AwqYakTJT
AwxHyEjtp,原来年龄真的不是问题。,AwqYakTJT
AwxGZwlfi,林子大了，什么鸟都有啊,AwqYakTJT
AwxGnDHiW,[衰],AwqYakTJT
Awx1fhEXX,[晕][生病][吃惊][汗][睡觉]除了震惊还是很震惊～每次看都觉得是真的吗真的吗[吐] 好励志的赶脚你们能相信爱情了吧！,AwqYakTJT
AwwOEBzax,老头子是禽兽。,Awupxe8yV
AwwLAgMNQ,[挖鼻屎]看不上,Awr2XDmba
AwwFyeJRP,[惊恐],AwwDomqNB
AwwDomqNB,20,Awr2XDmba
AwwCqnJgy,这孩子咋想的,AwqYakTJT
AwwCa7hkV,哇 你看我才小你18岁耶[害羞],Awwri6eHU
Awwzo6PUq,我今年17…[口罩],Awr2XDmba
AwwyrmPFN,明明是爷孙啊！！！[吃惊][吃惊][吃惊],AwqYakTJT
AwwxUwdV5,噢靠,AwqYakTJT
Awwsi7wNx,[吃惊][吃惊],AwqYakTJT
AwwrudJqE,难以理解。,AwqYakTJT
Awwri6eHU,哈哈，[害羞]還是有機會的,Awr2XDmba
Awwksl5fd,这真的不是犯罪吗？,AwvrsniUv
AwwkalnWi,有点想不明白,AwqYakTJT
AwwgxbuAD,額。。。。這。。。不用坐牢嗎？？。。。,AwrLCEoPD
Awwf9b5pG,额………爷孙恋………,AwqYakTJT
AwwdqgpKg,额，好吧，我还能说些什么呢,AwqYakTJT
Aww5glxKA,[生病],AwqYakTJT
Aww1dsWGk,搞文艺的，境界就是不同，表示永远达不到啊！[哼],AwqYakTJT
AwvYZsZbU,什么个节操[晕]”什么节奏[哼],AwqYakTJT
AwvQ7zIKt,这个世上啥事儿都有啊[惊恐],AwqYakTJT
AwvOKaIRH,还挺像他孙女的！,AwrpBbA81
AwvNP9a9g,靠，怎么想的[怒],AwqYakTJT
AwvKQpYQy,啧啧啧,AwqYakTJT
AwvJPbsbq,我和我的小伙伴们都惊呆了[汗][汗][汗][汗][汗],AwqYakTJT
AwvInEA4o,这新闻来来回回的报是闲的蛋疼么，谁想看啊，你们都没别的有意义的新闻了么,AwqYakTJT
AwvGycQkj,好嘛。[好],AwqYakTJT
AwvExdyvI,我去~~,AwqYakTJT
AwvDCvmR5,[衰],AwqYakTJT
AwvCSlJ62,虽然我是能接受一些相对来说不那么大众的...但是这个真的不能想象...不过当事人的心情可以理解...爱就爱了不要那么多顾忌...还是送上祝福,AwqYakTJT
AwvCICoMl,一周年,AwqYakTJT
AwvC0DZY2,[懒得理你]苍苍白发对红妆,AwqYakTJT
AwvzacnFn,这个世界真的疯狂了。,AwqYakTJT
AwvyODgKs,OMG[神马][神马],AwqYakTJT
Awvw9tpEm,……,AwqYakTJT
AwvvSCg6y,这个世界怎么了,Awv61hdzu
AwvsdlEfO,想到这个张龅牙嘴跟猪一样啃自己女儿，她爸爸估计要疯了。我也想吐了。,AwqYakTJT
Awvsd3tMe,老不正经！,AwqYakTJT
Awvs30BAM,我能说我想吐吗？[吐][吐][吐],AwqYakTJT
AwvrsniUv,真爱,AwqYakTJT
AwvqUqz6a,真爱,AwqYakTJT
AwvqU8Xjx,他们怕是疯了,AwqYakTJT
Awvo41Fx3,我真的是个传统的中国人 太受不鸟,AwqYakTJT
AwvnmfKSW,流弊的爷爷！,AwqYakTJT
Awvjaxp2L,这算畸形么,AwqYakTJT
Awvgg1ccB,眼已瞎[衰],AwqYakTJT
Awvg1tsmb,哎妈，这咋恋呐[黑线],AwqYakTJT
AwvftegqC,实在无法理解,AwqYakTJT
AwvevvPjV,宝贝爱我厉害的嘛。[爱你],Awueblj2T
AwvdaeSFU,老子要吐了,AwqYakTJT
AwvcJCMq0,还是觉得恶心,AwqYakTJT
AwvbrypJB,真心受不了啊,AwqYakTJT
Awv8x2Shj,人家恋父癖` 这个是恋爷癖[生病],AwqYakTJT
Awv8icYtq,17岁[衰],AwqYakTJT
Awv7LFaz5,疯狂！[熊猫],AwqYakTJT
Awv6ojfuF,这妹子，眼光是不是有问题。或许 又是贪图一个钱的娃啊。。这大爷的咋看咋猥琐。。,AwqYakTJT
Awv61hdzu,天哪，这到底是怎么想的[囧],AwqYakTJT
Awv5ilCAx,额……无语,AwqYakTJT
Awv1xvG42,[汗][汗],AwqYakTJT
Awv18psFs,额，,AwqYakTJT
Awv0rwmP6,爆粗口 好pi都遭狗ri了。,AwqYakTJT
Awv0jzaFv,无语[挖鼻屎],AwqYakTJT
Awv083znK,[汗],AwqYakTJT
AwuZ1aAmx,那女的爸妈脑残了？！,AwqYakTJT
AwuYfj0ya,那个人是……我？？？[挖鼻屎],AwqYakTJT
AwuY3cFl8,跟着他，吃喝不愁想花钱随便花，很多年轻小姑娘就是图个安乐图个玩。,AwqYakTJT
AwuWV9yPh,金钱的诱惑，何必呢，人生不有更多追求。怎么看怎么假啊,AwqYakTJT
AwuTK6twX,受不了,AwqYakTJT
AwuTnA18z,又要相信爱情了,AwqYakTJT
AwuT6rCP4,OMG，是我太OUT了么？完全不能接受,AwqYakTJT
AwuSk33Pz,[熊猫],AwuKBit40
AwuS9mWSz,我滴个天,AwqYakTJT
AwuQTCLWA,[囧],AwqYakTJT
AwuQ3mhHL,[抓狂][吃惊][哼][睡觉][汗][吃惊][吃惊],AwqYakTJT
AwuPdEFDV,这女的脑袋进水了吧，她爸妈怎么承受这样的事情,AwqYakTJT
AwuP6z6Og,不能接受，不可思议，太不像话,AwqYakTJT
AwuOLhEUo,其实这差距在封建社会就不足为奇了,AwqYakTJT
AwuOnlpA8,太毁三观了,AwqYakTJT
AwuNQdW99,你真的爱他么。？,AwqYakTJT
AwuN99aZJ,"我想说：""周杰伦，等我长大！""",AwqYakTJT
AwuMHAXdw,没的说,AwqYakTJT
AwuMidGIG,尼玛,AwqYakTJT
AwuMdcwPv,果然男人不管什么年纪都喜欢18岁的,AwqYakTJT
AwuLVcOPx,佩服。,AwqYakTJT
AwuLHAUTm,已经看不懂这个世界了。,AwqYakTJT
AwuLcvtv4,这个世界都是怎么了？？？,AwqYakTJT
AwuKJzbbC,[衰][衰][衰][衰],AwqYakTJT
AwuKFcnDA,世界好大,AwqYakTJT
AwuKBit40,[衰],AwqYakTJT
AwuKn9FSp,爷孙恋[衰],AwqYakTJT
AwuJDiUdD,我擦！好迪奥。 未成年啊！魂淡！,AwqYakTJT
AwuHX2g9q,爱情没有年龄限制！,AwqYakTJT
AwuHAyjOI,[汗][汗][汗],AwqYakTJT
AwuG67rdW,。。。。,AwqYakTJT
AwuFl7TOU,再过10多年要怎么办，想太多了,AwqYakTJT
AwuDMsQ3q,15岁开始的咯，老头子不犯法么,Awu2cfu60
AwuDs5svK,57----17[鄙视][鄙视]不要逼脸,AwqYakTJT
AwuDcrS6w,我去，你妹呀！姑娘你对得起你爸妈么？,AwqYakTJT
AwuBK1tfs,这是真爱麽？我天。。。。。,AwqYakTJT
AwuBm6uEE,我去，。，，，，，，，，，，我的三观[眼泪],AwqYakTJT
AwuAqpxO3,忍不住想yue的心。,AwqYakTJT
AwuAoEcHI,天啊。。。,AwqYakTJT
AwuzCdt2t,[汗],AwrLCEoPD
Awuz4xjGO,OMG,AwqYakTJT
AwuyUcOxU,[猪头],AwqYakTJT
AwuyLzWvU,这女孩被驴踢啦,AwuwnyMqM
AwuyL2HeV,口味真重,AwqYakTJT
AwuyzdiCB,这个 我是没有办法接受,AwrF6bee7
AwuybyuYh,咦~~~~~~,AwqYakTJT
AwuxSlWdq,这女孩怎么想的，实在不解,Awr0dpZAz
Awuxs3jqp,[打哈欠]的确是真爱呐！！！,AwqYakTJT
Awux7lWHV,真爱,AwqYakTJT
AwuwnyMqM,老不正经！！！,AwuqKhYaF
AwuvECftu,这17岁姑娘怎么很像你的发福版,Awr3fDZgp
AwuvBpuB6,我想知道这女的咋想了。…,AwqYakTJT
Awuv1k5Gh,老牛吃嫩草！,AwqYakTJT
Awuuv8rir,大概是真爱。。。,AwqYakTJT
Awuu7eJsB,[晕][晕],AwqYakTJT
AwutiniVb,节操....,AwqYakTJT
AwusyAlkt,[奥特曼][奥特曼],AwqYakTJT
Awusti3CC,名人的世界无法懂,AwqYakTJT
AwurqzBVG,切伐消[汗],AwqYakTJT
AwurfCEu1,=_=这一定是精神领域的恋爱！[哼][哼],AwqYakTJT
