source_id,comment_text,target_id
A5Y9L95HT,粉丝精灵转发。,A1gnYd9VU
A5FmhdmG7,微博粉丝精灵转发。,A1gnYd9VU
A5DG91I9w,微博转发。,A1gnYd9VU
A5oLEC8r0,微博转发。,A1gnYd9VU
A1wypBDld,珍惜所有,A1gnYd9VU
A1pxS9vdL,"恩,",A1gnYd9VU
A1peHnL8c,晚安，亲,A1gnYd9VU
A1ol5yO3x,早睡早起精神好呗,A1gnYd9VU
A1mibeorb,.,A1gnYd9VU
A1lWk2CQM,[飞吻],A1gnYd9VU
A1lSTCrXr,！,A1gnYd9VU
A1kW7j44k,每次安全卫士的晚安话题说的都非常好呢,A1gnYd9VU
A1kBU8oAD,感谢,A1gnYd9VU
A1k3BqQf7,[围观],A1gnYd9VU
A1jXAf725,来过，得到过，拥有过，珍惜过,A1gnYd9VU
A1jRmBqWy,给自己一个美好人生,A1gnYd9VU
A1jCz9QkB,众生万物一律平等自然规律不可逆转,A1gnYd9VU
A1jAaxfhh,早安......,A1gnYd9VU
A1jzG71QB,嗯嗯，就算让你占有，我们又有几个年月，有时回忆更能让你我铭记于心，久久回味无穷。,A1gnYd9VU
A1js775AY,[手套],A1gnYd9VU
A1jqZolNX,早安,A1gnYd9VU
A1jmv4bxL,365,A1gnYd9VU
A1ji6j8n8,[微风],A1gnYd9VU
A1jhZwv4d,对生活要感恩！,A1gnYd9VU
A1jfJbtf3,好好珍惜眼前人。,A1gnYd9VU
A1jdJlZOB,说的好啊,A1gnYd9VU
A1jd62G07,[威武][兔子],A1gnYd9VU
A1j0Mb6L8,来过，一起走过，不曾后悔,A1gnYd9VU
A1iUvk72O,拥有过 珍惜过,A1gnYd9VU
A1iTni0cz,很不错,A1gnYd9VU
A1iRY7zTj,悲…,A1gnYd9VU
A1iGM1L24,感恩，我们曾经相遇过！,A1gnYd9VU
A1iC7BHvA,是的,A1gnYd9VU
A1ihyhp7D,..死了才会明白..活着都只会执迷不悟..个人有各人的无药可救..,A1gnYd9VU
A1id1hoMD,晚安,A1gnYd9VU
A1hVkDk5Y,实话,A1gnYd9VU
A1hRa9919,晚安,A1gnYd9VU
A1hyLeuOe,晚安。。。,A1gnYd9VU
A1hclxHXr,本来就是,A1gnYd9VU
A1h6NzOO2,同感,A1gnYd9VU
A1h4tFL5Z,[太阳],A1gnYd9VU
A1h1OcsFF,来到这个世界上什么也不带，走的时候也一样，只是生命需要我们留下一些印记,A1gnYd9VU
A1gYbCyMh,晚安！,A1gnYd9VU
A1gXexZWv,不行我要哭了。。为什么要这样，下辈子我们能遇见吗？下辈子我们能相爱吗？,A1gnYd9VU
A1gWZqQKQ,晚安,A1gnYd9VU
A1gPk1eoF,珍惜彼此，珍爱时光，善待周遭,A1gnYd9VU
A1gMBikhG,晚安……,A1gnYd9VU
A1gKqvso9,晚安,A1gnYd9VU
A1gIUyLXp,你来过，得到过，拥有过，珍惜过。,A1gnYd9VU
A1gH05vBb,百年后，什么都被遗忘了！！,A1gnYd9VU
A1gGP9o0l,晚安[可爱],A1gnYd9VU
A1gFv1079,呵呵，既然百年后大家都已不在了，还能明白什么呢？就算有来世也不会记得前世吧。啊！晚安！！[嘻嘻],A1gnYd9VU
A1gFizf62,好伤感,A1gnYd9VU
A1gECD5Na,到那时什么都没有了！,A1gnYd9VU
A1gDWntYT,珍惜现在拥有的,A1gnYd9VU
A1gCgFecx,晚安[可爱],A1gnYd9VU
A1gBTkt2q,希望都幸福，晚安。,A1gnYd9VU
A1gBq47n9,感謝我身邊的所有人，晚安，親愛的朋友，我愛你們！！！,A1gnYd9VU
A1gBmtbOv,晚安,A1gnYd9VU
A1gBeyiMA,晚安自己～[泪][泪],A1gnYd9VU
A1gzHmLeX,晚安,A1gnYd9VU
A1gzf3a0v,花开时候，岁月记得！,A1gnYd9VU
