source_id,comment_text,target_id
z2nL0y9Ko,你可以去打酱油了。,z1bnvvb13
z1YtQBkc4,好阔爱的大叔，如果我们还在读书，一定组团去隔壁观摩下。,z1bwlDvaQ
z1utAawae,[鼓掌],z1byUCfKO
z1sPMq3ug,[嘻嘻][嘻嘻]激发购物欲望！,z1pHRaWBd
z1q453PRn,搞笑啊,z1bnvvb13
z1pHRaWBd,哈哈,z1bnvvb13
z1oFeAMID,走哇[嘻嘻],z1bnvvb13
z1nhunUIx,跌了还换？[懒得理你],z1bydtrBl
z1n8BA8TF,你懂滴,z1bnvvb13
z1lF8tSDG,打酱油。。[围观],z1bnvvb13
z1lEQurdg,[哈哈][哈哈][哈哈],z1bsnsKvJ
z1kxQE2ph,过年回来。[酷],z1bxR3uv0
z1jIZrY6Y,换早了,z1bnvvb13
z1jhKpqAP,[抓狂],z1bnvvb13
z1iW5ojc3,[哈哈],z1bnvvb13
z1fTrxZI0,OMG,z1bnvvb13
z1fMLxRWt,部分HK人民不用再自我陶醉了[睡觉],z1e2jCyAS
z1fBSCVRt,还要去血拼啊![嘻嘻],z1bnvvb13
z1fAOsUig,两小魔怪 〜HK买嘢又更超值啦〜[偷笑][偷笑],z1bnvvb13
z1fn90Ip6,"我最最亲爱的师姐,我已经听说了月底是吧?还有点点港币帮我用了呗[偷笑][亲亲][爱你]",z1bMmc5ad
z1f9eaP0A,哈哈！下个月走起来 [哈哈][哈哈],z1bnvvb13
z1f4flPk5,哈哈哈,z1bBnmThR
z1eY51MoG,走起。。什么时候一齐去看爷爷奶奶。,z1clj40cv
z1eKegNq7,今天刚去换了港币，的确是破80了,z1bAHqKRO
z1eHJ9Uuj,再跌再跌,z1eC2kJpv
z1eC2kJpv,3倍啊，怎么赶的上这通胀的速度啊，人民币像橘子皮,z1dM5uw5O
z1esiEmhD,go go go,z1bDqbtpv
z1erm7hBo,除了香港商家，更多香港市民应该会更抵触大陆客了。不过破八是好事[嘻嘻],z1bseBAVV
z1eogDpCf,尽情的花吧[嘻嘻],z1bnvvb13
z1elJq7OP,哇塞 这次去着了！下周多败点,z1bnvvb13
z1eiDFGVv,[汗][汗],z1bnvvb13
z1ehLkMWN,[偷笑]我要嗱嗱林办翻个证去打酱油先得,z1bnvvb13
z1egU93k8,[偷笑][偷笑][偷笑][偷笑][偷笑]我就是打酱油和买盐买面,z1bnvvb13
z1eb6t65I,明天去打酱油，有人同行吗？,z1bnvvb13
z1e2jCyAS,多印三倍呢……恶性循环走不出来了,z1dM5uw5O
z1dXQskR0,中国人啊,z1bnvvb13
z1dX09VIW,刚从香港回来啊！怎么不早点跌啊！,z1dOIAj6b
z1dUfloVL,HK的物价会不会越来越高呢？！,z1bnvvb13
z1dTuFweS,/哇。。,z1boRpXMM
z1dOIAj6b,！！,z1diC7IvR
z1dN4ju1n,等住恁爷,z1dghBf4W
z1dM5uw5O,人民币升值不是好事哦，听化工巨头公司的朋友说他们明年预算是按5.8的汇率做的。上海印币厂明年生产任务是今年3倍！明年日子不好过阿。,z1ds24Kia
z1dITvePS,去广州好想顺便去香港啊,z1bnvvb13
z1dFZwVea,尼玛钱包里还有点儿没花早他妈去兑了多好！！！,z1bnvvb13
z1dFxaQy1,我要去香港[太开心],z1bnvvb13
z1dAa9xqz,[懒得理你]则通行证过期前可以再考虑去一次,z1dghBf4W
z1dwPCnk8,人民币开挂了？不是好兆头,z1bnvvb13
z1dsp6MHX,吹啦，今日睇新闻都80.6[挖鼻屎],z1bDPiFt3
z1ds24Kia,心痒的来,z1d6VARuS
z1doA5lip,[江南style][江南style][飞个吻][带感][得瑟],z1bvRdhLW
z1djX9Zxe,迟早换人民币上岗，加速流通力,z1bnvvb13
z1diC7IvR,我靠。。。,z1bseBAVV
z1dhqwC7T,yes!我第一次看到以为是彩票，港币10元色彩太欢乐了。。,z1cAG2aGf
z1dghBf4W,[衰],z1bvwchFI
z1dgh4VNj,有钱的妞啊[馋嘴][馋嘴][馋嘴],z1c8JeHHw
z1d7N3NEA,[偷笑][钱],z1brtn44G
z1d7FpoN4,同志们，打酱油去吧,z1bnvvb13
z1d6VARuS,希望再低点，贪心啊……,z1bnvvb13
z1d1djLJV,去早了。。。,z1bDtqpZk
z1d0odG2n,港不再港了〜[鼓掌][鼓掌][鼓掌],z1bsSgoCN
z1cZXBBGn,[汗]证过期也没过一次！呜呜,z1bnvvb13
z1cZyt0Sx,帮你们找到了度蜜月的好去处,z1bnvvb13
z1cVgg20A,哥手头持有的那十元港币呀。。。,z1bnvvb13
z1cTL9gS5,打酱油去喽,z1bnvvb13
z1cRv6KLR,"I don't care, I'm rich already. （滚）",z1bnvvb13
z1cPFA3ds,貌似又跌了,z1bDPiFt3
z1cOixDUa,我都OK啊！反正也没想好去哪里！,z1c6Js2Wa
z1cNW3cvI,大家一起打酱油[哈哈][哈哈],z1bnvvb13
z1cNphdOg,你问元芳[嘻嘻][嘻嘻],z1bw7cdlS
z1cMZhpQS,那不是很划算啊很划算,z1bnvvb13
z1cJYviLJ,哎呀，是不是可以开车去拉。,z1bnvvb13
z1cIOooBV,继续一路向下吧~,z1bnvvb13
z1cIsg566,争取每年去一次[哈哈],z1bnvvb13
z1cEVhVAQ,去吧,z1bnvvb13
z1cEMr5OH,哟吼吼，可喜可贺[围观][鼓掌],z1bnvvb13
z1cEs3GWI,就在赚的2W里面扣好了！呵呵~,z1bFFmcue
z1cCxx1R5,sure！,z1cixmNTV
z1cCrB7Lo,想去打酱油,z1bnvvb13
z1cC9BPyc,心痒痒~~,z1bnvvb13
z1cAG2aGf,亲，你还记得这张欢乐的10块钱吗？[偷笑],z1bU094hU
z1czJeuMD,[酷][酷][酷],z1c2Gi6BF
z1cxR6Whv,很划算！,z1bnvvb13
z1cwe1WSt,粗花了,z1bnvvb13
z1cucqRGQ,[鼓掌],z1bnvvb13
z1ctBumod,你可以赶紧去换好,z1bnvvb13
z1cqnqcoD,去打酱油吧,z1bnvvb13
z1cpLDLn8,去打酱油噜.,z1clj40cv
z1cljBqyz,等着我去打酱油…[兔子][兔子],z1bnvvb13
z1clj40cv,[淚]我的港幣呀!!!!!,z1c2Gi6BF
z1ckWA9nb,阿拉每周回去就越来越痛苦了~,z1bnvvb13
z1ckzx5OA,好便宜啊,z1bnvvb13
z1cjUbNnO,快去HK扫货去[偷笑][偷笑][偷笑],z1bSnpt8N
z1cjxqrOe,[鼓掌],z1bs38LGi
z1cjkrcS1,不怕，有公民党、社民连罩住，香港没事的[鼓掌],z1bnvvb13
z1cj5mTYq,我剛剛在和我媽說這件事情，還好我家還有個有人民幣的[汗],z1bnvvb13
z1cixmNTV,R your 确定？,z1c6Js2Wa
z1ciqibxH,应该迟点去香港的[熊猫],z1bnvvb13
z1chMCGYn,我真的该去了，哈哈~~,z1bnvvb13
z1chz7B87,扫货go,z1bVLeBxk
z1cfUynxH,跌破0.8了。。[吃惊][吃惊][吃惊],z1bnvvb13
z1cf9itc9,7天时间，够打酱油了。问题是会不会酱油过关得交税或被叫水客呢？,z1bnvvb13
z1cdusJnQ,[挖鼻屎]丢，甘我手上果张1000蚊纸咪只能去HK买？换翻好亏~！,z1bnvvb13
z1ccVy0Go,[钱],z1bnvvb13
z1ccaAmzh,我勒个去啊,z1bnvvb13
z1cbsgJVb,我想去买个gst,z1bnvvb13
z1caAbRzt,[偷笑][偷笑][偷笑]不得了啦！,z1bnvvb13
z1castaco,[汗][汗],z1bnvvb13
z1cao4UvZ,6月去的时候是82，跌的还挺快的啊。,z1bnvvb13
z1c9Y60Pa,是哦，金价再美好点就嗲啦,z1bYTmfxz
z1c8JeHHw,12月计划去[偷笑][偷笑][偷笑],z1bsVdJUz
z1c8giYcf,一起打酱油,z1bzjaGgx
z1c6Zn0aF,又想去了····,z1bnvvb13
z1c6UlAPv,啊！！第一次去的时候是89，后来慢慢越来越低，现在好爽好爽啊！！心动啊心动啊,z1bnvvb13
z1c6Js2Wa,组织起来！走了！ [嘻嘻],z1bR4suuC
z1c6HmEP4,[嘻嘻][嘻嘻],z1bnvvb13
z1c6DfLrC,快去打酱油,z1bnvvb13
z1c6yuEdN,我去怎么没跌[怒],z1bnvvb13
z1c5gqtVH,那我过澳门换港币好还是蒲币好呢？ [思考][思考],z1bnvvb13
z1c5eE6Bf,还要打拼35年！！！,z1bnvvb13
z1c4FtZ2l,啊！！！！港幣越來越不值錢了！！[抓狂][抓狂][抓狂],z1bnvvb13
z1c436b4q,老大早上给我看这条新闻时，我唯一想到的是，他的工资又多了,z1bnvvb13
z1c3jwaGm,下一站香港~~~~~,z1bnvvb13
z1c2ICJFZ,哈哈,z1bnvvb13
z1c2GvKup,【港币对人民币首破80 赴港“打酱油”将越来越划算】,z1bnvvb13
z1c2Gi6BF,oh yeah.....要不元旦去一趟[嘻嘻][哈哈][哈哈][哈哈][哈哈][哈哈],z1bnvvb13
z1c2x8tSR,快去打酱油吧！[鼓掌],z1bnvvb13
z1c1n0WjL,去早了吧~,z1bnvvb13
z1c10x5OV,[鼓掌],z1bnvvb13
z1c0LdfMa,走起！,z1bwV7AXt
z1c0Ah8P5,走起？,z1bnvvb13
z1bZKx1Pk,"便宜O,赶紧去SHOPPING。",z1bnvvb13
z1bZzBOgA,快递先生还没来取证[汗],z1bnvvb13
z1bZkf2zw,[吃惊],z1bnvvb13
z1bZ4hvpf,元芳，你怎么看？,z1bnvvb13
z1bYTmfxz,现在的汇率真美好啊~[花心],z1bnvvb13
z1bY8FycJ,利好~可以多买点了[嘻嘻],z1bnvvb13
z1bXl2681,帮我打瓶酱油,z1bnvvb13
z1bWwcaJF,好吖！！！！,z1bnvvb13
z1bW7520c,跌跌跌.....,z1bnvvb13
z1bVLeBxk,睇嚟HK又淪陷了，RMB強起來了[哈哈][哈哈][给力][给力],z1bnvvb13
z1bVB8OCB,我还有将近100港币呢'得抓紧去HK花掉[酷],z1bnvvb13
z1bV0d4ho,侬去吧 给我带货 回来,z1bnvvb13
z1bU094hU,昨天看是78，要再去换点了[钱][钱],z1bRs7cIR
z1bTfdgYU,[泪][泪][泪][泪][泪][泪][泪] 我要去賺人民幣， 求一官半職。要快!快!快!,z1bnvvb13
z1bST2VB7,好想圣诞去香港[钱],z1bnvvb13
z1bSRyyIv,多买点,z1bnvvb13
z1bSv6DoQ,我们家还有港币啦,z1bnvvb13
z1bSsroCh,很好！！[给力][给力],z1bBJfQoO
z1bSsog1h,HK的人民很担忧吧,z1btZEbOP
z1bSnpt8N,你兑港纸未吖？,z1bys03mo
z1bRPFqyj,年底去转一圈吧,z1bnvvb13
z1bRs7cIR,划算了，好去换了,z1bnvvb13
z1bRjfbGr,走，去咯…,z1bnvvb13
z1bR4suuC,Jj哥…真的可以有！！！,z1bnvvb13
z1bQHppVN,打酱油去呀~~！,z1btep92Q
z1bQbcJnk,[哈哈]打酱油~~,z1bnvvb13
z1bQ5hGYB,合你心意啦，去HK扫货。,z1bnvvb13
z1bPShuG8,人民币好牛逼,z1bnvvb13
z1bPFfWRa,不错不错,z1bnvvb13
z1bPelLTr,79[泪][泪][泪],z1byneI0N
z1bOitz9e,[花心],z1bnvvb13
z1bNWjuBe,香港入境游將再次雪上加霜[浮云],z1bnvvb13
z1bNHwNJX,元芳，你怎么看,z1bnvvb13
z1bMYjVTm,l 大胆的去吧··,z1btxid7d
z1bMXoggj,我要到香港血拼[鼓掌][酷],z1bnvvb13
z1bMmc5ad,快了，等等吧亲！这周要考试吖,z1bzYx3eL
z1bM79wrg,本来还想把身上的港纸换回人民币用用的，跌成这样不换了。好亏哦,z1bnvvb13
z1bLUoDr5,泣血了呀要！懊恼自己懒得理财，银包缩水大大地呀！督促俺回HK处理拖了n年未尽事宜呀。,z1bnvvb13
z1bLBeiER,亲， 咱们一起走起吧？多喊上点，去购物！,z1bnvvb13
z1bLfm4ZE,看来12月份赴港计划真要泡汤，肯定又是人人人人人人人……,z1bnvvb13
z1bL7EUyX,[偷笑][偷笑]又香港又澳門[惊恐],z1bwhvjxd
z1bL0Ayzt,[吃惊][嘻嘻],z1bnvvb13
z1bKZnkWV,广东人的福利啊,z1bnvvb13
z1bKPjPZx,去吧去吧~~,z1bnvvb13
z1bKLwfmC,[黑线][黑线][黑线],z1bnvvb13
z1bKc2ugM,good！！！,z1bnvvb13
z1bK4F1nG,[笑哈哈][亲亲],z1bnvvb13
z1bJDuQmW,不开心啊…刚扫完货又换了港币，亏了,z1bnvvb13
z1bJ8akez,哇，又跌,z1bnvvb13
z1bIRCbEX,走起~,z1bnvvb13
z1bIjBt1Q,我那个去！！！！！,z1bnvvb13
z1bIg5qQg,哇噻！！,z1bnvvb13
z1bIdpHdm,内地的朋友快去香港扫货吧,z1bnvvb13
z1bIabLeC,今天一起吃饭吗,z1bnvvb13
z1bHEwW1A,想去诶！,z1bnvvb13
z1bHl2ecX,12月？,z1bnvvb13
z1bH4bvTM,[笑哈哈],z1bnvvb13
z1bGIk6Aq,水涨船必然也会。。。,z1bnvvb13
z1bGwu5sV,又免税又八折,z1bnvvb13
z1bGvCG2e,[嘻嘻],z1bnvvb13
z1bG6vvAq,换港币去！,z1bnvvb13
z1bFK62eN,[鼓掌],z1bnvvb13
z1bFFmcue,[泪][泪][泪],z1bnvvb13
z1bFnhPr6,要去HK买也[嘻嘻][嘻嘻],z1bnvvb13
z1bFa1TEE,[鼓掌],z1bnvvb13
z1bF7Be8o,快去买电脑！！！破8了,z1byVvWds
z1bERppZu,如何？,z1bnvvb13
z1bENhedU,[泪][泪][泪]我还有几百蚊港纸未用啊，，，,z1bnvvb13
z1bEJo99O,走起来唉茹茹~,z1bt3rlyM
z1bECzwku,你看看,z1bnvvb13
z1bEjEICx,强烈要求去香港！！,z1bnvvb13
z1bEgs5z7,[给力],z1bnvvb13
z1bEenZCH,什么时候去打打酱油啊[嘻嘻]叫上我[嘻嘻],z1bnvvb13
z1bEbonH9,想去没钱,z1bnvvb13
z1bDQbUTM,好在持有的港币不多,z1bnvvb13
z1bDPiFt3,系咪啊？,z1bnvvb13
z1bDOpq7g,买苹果又要抢了[衰],z1bnvvb13
z1bDNcJx5,完了，家里纵有港纸未兑换[衰],z1bnvvb13
z1bDJ4y1B,[思考][思考][思考][礼物][礼物][礼物][雪人][雪人][雪人]我总觉得这在暗示我什么…！圣诞走起！各大牌你们慢点涨价！,z1bnvvb13
z1bDyq284,@ 阿阿虾米要去不,z1bnvvb13
z1bDwFmyx,据说曼谷奢侈品比Hongkong便宜,z1bnvvb13
z1bDtqpZk,啊啊啊啊！！！,z1bBkrnCM
z1bDqpcmB,[鼓掌],z1bnvvb13
z1bDqbtpv,首破80,z1bnvvb13
z1bDjBiS4,货币战争又来了？,z1bnvvb13
z1bDboKYt,打酱油的高兴了，做饭的能高兴起来吗？,z1bnvvb13
z1bD4iwL5,早上老弟也查了汇率，79诶〜〜[鼓掌]降吧降吧，那样我们去香港就可以多点 享受啦，[哈哈][哈哈],z1bnvvb13
z1bD0rWwu,[哈哈]走起！！,z1bnvvb13
z1bCTmpJj,[鼓掌][花心]找时间再玩一次！,z1bxmzmTt
z1bCLnDCm,[江南style],z1bnvvb13
z1bCEiMy5,[奧特曼],z1bnvvb13
z1bCD7gt0,我打算去买2斤苹果！,z1bnvvb13
z1bCymmFw,50就好了[嘻嘻],z1bxrA4M3
z1bCn9Iff,去打酱油吧！,z1bnvvb13
z1bCkcncK,[酷],z1bnvvb13
z1bChxhzd,[鼓掌],z1bnvvb13
z1bCdEkU5,[威武],z1bnvvb13
z1bCcfl89,不如下个礼拜你考虑下代购吧~,z1bnvvb13
z1bBJfQoO,[给力][给力][给力],z1bnvvb13
