source_id,comment_text,target_id
zrfAU4YHg,"孤标傲世偕谁隐,一样花开为底迟？",zlLpC9KEq
zr26n0clF,一样花开为底迟？,zlLpC9KEq
zqSsvgwg3,[心],zlLpC9KEq
zquAAgpxj,永远的林妹妹,zlLpC9KEq
zoE0w5i8U,一样花开为底迟,zlLpC9KEq
zogNdi4zp,一朝春盡紅顏老，花落人亡兩不知。小旭之後，再無林妹妹。最後句，應該是“解語何妨話片時”吧。,zlLpC9KEq
zoby2tfAr,林妹妹菊花诗——《问菊》,zlLpC9KEq
znLQXeXiI,这是那天诸多赏菊诗中唯一绕齿生香久不能罢的一首。一样花开 为底迟。,zlLpC9KEq
znwQs0hwf,柔柔弱弱，让人怜惜，所以深忆,zlLpC9KEq
zmL2obYM8,看不懂,zlRz8B9Lj
zmDifrheb,"孤标傲世偕谁隐,一样花开为底迟?",zlReRjWDG
zmmn1oUHg,"休言举世无谈者,解语何妨片语时。",zlLpC9KEq
zmgU7jGxW,"休言举世无谈者,解语何妨片语时。",zlLpC9KEq
zm4w1tn4M,永远的林妹妹～,zlLpC9KEq
zm3gWdO99,偶为黛玉狂~[哈哈],zlLpC9KEq
zlZSlgek1,她就是为林妹妹而生！或者说，她就是林妹妹！,zlLpC9KEq
zlZcQ7SQo,世上再无这样的女子,zlLpC9KEq
zlZ9yeEK6,世间哪里还找得到这样的人儿！,zlS9P2bin
zlYZdDY8A,为图而转，晓旭之后再无黛玉…,zlRz8B9Lj
zlVZHAlx7,花谢花飞花满天，红消香断有谁怜,zlRaO9r4T
zlVCehKQy,喜欢她,zlSeU0oNC
zlVzgcuhO,[呵呵],zlRz8B9Lj
zlVxpwI9y,黛玉故去，红楼梦就没看了，忽的觉得无了兴致。这般偏执。,zlSsH8dGH
zlVorteus,世间哪里还找得到这样的人儿！,zlS9P2bin
zlVd8ecm8,独一无二 ,zlRz8B9Lj
zlV7z5GC4,我心中永远的颦儿，被影响十年了吧，最后一句解语何妨话片迟,zlLpC9KEq
zlV2ErbBd,[心],zlRwHCb0d
zlUXu8hB1,我隐藏的太深，其实我就是[挖鼻屎]你没还察觉吧,zlLpC9KEq
zlURDfYCq,最美的林妹妹,zlLpC9KEq
zlUIyoqmJ,潇湘妃子,zlRz8B9Lj
zlUzPA8B8,我心中永远的林黛玉，无人能越,zlLpC9KEq
zlUtDv57m,等什麼時候，天上再掉下一個林妹妹，，，，，,zlRaO9r4T
zlUqPqiCf,世间哪里还找得到这样的人儿！,zlReRjWDG
zlUpuo13r,晓旭之后再无黛玉！,zlRz8B9Lj
zlUoXzPMx,回去了,zlLpC9KEq
zlUnuzVhd,因为短暂，所以经典。,zlReRjWDG
zlUc6DK7q,超爱她那眼神[得意地笑],zlLpC9KEq
zlU9x75aL,你老有内涵的么,zlLpC9KEq
zlU4lzyu7,不太明白。,zlS9P2bin
zlU17x6bh,昨晚刚看完36集老版红楼梦，精彩！尤其是黛玉葬花一段，无语泪流，着实精典！确实如友人所说，人在每一个年龄段重看红楼梦，都有不一样的感悟！,zlRz8B9Lj
zlTZMfMoL,再无,zlRaO9r4T
zlTMcmdRA,不知道怎么说了，看了那么多再拍的，没有看到一部好的,zlSs0CSSW
zlTzL6P3J,确实难觅,zlS9P2bin
zlTuE38NF,我的女儿指着林黛玉说这个阿姨是谁？好漂亮。我说她像不像妈妈？宝贝说她不是这个世界的。可是，宝贝你知道吗？当年你爸爸看妈妈的第一眼就问我你为什么不参加红楼梦选秀？你可以演林黛玉。宝贝，你知道妈妈为你付出的是什么了吧。？,zlS9P2bin
zlT9eodWv,虽说看不太懂，但是隐隐觉着很有意境。,zlLpC9KEq
zlT7q7NYI,大爱黛玉,zlS9P2bin
zlT4pn6SO,花谢花飞花满天，红消香断有谁怜？,zlLpC9KEq
zlT27yCjM,[太开心],zlRz8B9Lj
zlSYE74Kq,红颜薄命啊,zlS9P2bin
zlSYC2Zyp,晓旭之后，再无林妹妹……,zlLpC9KEq
zlSVkrBzN,世间哪里还找得到这样的人儿！,zlLpC9KEq
zlSVf8B6C,[可爱],zlS9P2bin
zlSOXo6mu,情·意·境 恰到好处！！！,zlRz8B9Lj
zlSOGyiRG,如何心思空牵挂。,zlS9P2bin
zlSICFfh3,黛玉。。,zlLpC9KEq
zlSHCCN5O,[呵呵],zlLpC9KEq
zlSHB8n5Y,"欲讯秋情众莫知,喃喃负手叩东篱",zlLpC9KEq
zlSDlxDhn,世间哪里还找得到这样的人儿！,zlLpC9KEq
zlSyNn9ah,问世间情为何物~直教人生死相许~,zlLpC9KEq
zlSxu7m1R,晓旭之后，再无林妹妹……,zlRaO9r4T
zlSwWrMUZ,不是这个，我查了给你看,zlLpC9KEq
zlSuKtVjS,解语何妨片语时,zlRz8B9Lj
zlSumjPju,此人只应天上有，人间哪得几回闻！,zlS9P2bin
zlSu57ObF,世间哪里还找得到这样的人儿！,zlRz8B9Lj
zlSt9ubLL,黛玉，永远！,zlS9P2bin
zlSsH8dGH,很久没看了。,zlS9P2bin
zlSsjwFMe,怀念她，永远的林妹妹！[爱你][心],zlLpC9KEq
zlSs77yWe,一朝春尽红颜老，花落人亡两不知！,zlLpC9KEq
zlSs0CSSW,每次看到她再想想新版里那个头戴大花，眼神呆滞的姑娘，哎，，，真是不可同日而语也啊,zlLpC9KEq
zlSqFxFsK,再也找不到啦,zlLpC9KEq
zlSqavYB3,今日葬花人笑痴，明日葬侬知是谁!此诗已成谶!此情已化风,zlS9P2bin
zlSq9EAGQ,想当年有两句还是签名用过呢[嘻嘻],zlS9P2bin
zlSpaczrR,我怎么突然想起来小月月在宾馆背葬花吟那段呢,zlRjVDStf
zlSp4gl46,其实我一滴都唔明距讲咩咯！,zlS9P2bin
zlSoY45zF,想当年我们研究得多开心啊，我喜欢里边的诗词，你关注它的现实意义。年少轻狂，幸福时光啊[爱心传递],zlS5WbVkk
zlSo07ano,"欲讯秋情众莫知,喃喃负手叩东篱。 孤标傲世偕谁隐,一样花开为底迟? 圃露庭霜何寂寞,鸿归蛩病可相思? 休言举世无谈者,解语何妨片语时。",zlLpC9KEq
zlSmniA6D,喜欢这首《问菊》胜过排名第一的《咏菊》...,zlS9P2bin
zlSmgd5yZ,多年前的我就曾是这样的。但这样的我，已经死了。在香薰中，在插花中，在书画中，在古琴中，我还能依稀忆起也曾经盈袖的暗香，只是，涅槃后的凰，前世已尽殇,zlLpC9KEq
zlSlNftOx,世间哪里还找得到这样的人儿！,zlLpC9KEq
zlSlDx8IO,我看是不能了,zlS9P2bin
zlSl9nTJU,喜欢！,zlLpC9KEq
zlSkEmcAn,为图转,zlS9P2bin
zlSjr149F,大爱林妹妹！,zlRwHCb0d
zlSjl5qXG,"欲讯秋情众莫知,喃喃负手叩东篱。",zlLpC9KEq
zlSiO0DnS,mei,zlLpC9KEq
zlSix9VlA,世间哪里还找得到这样的人儿！,zlRz8B9Lj
zlSig2Khr,世间哪里还找得到这样的人儿！,zlLpC9KEq
zlSi1wAmG,哦，林~妹~妹~,zlS9P2bin
zlShtwAgG,今天天气好好 空气质量好好 以至于我看到这样的微博都想转发逼一下,zlS9P2bin
zlSfZ5P3j,真美,zlS9P2bin
zlSeWm5a8,片言谁解诉秋心。,zlS9P2bin
zlSeU0oNC,[花心],zlLpC9KEq
zlSeRm8lj,一朝春尽红颜老 花落人亡两不知！肿么觉得她生命的使命就是出演这部戏…,zlLpC9KEq
zlSdRjM6d,再也找不到这样逼真的林黛玉了！,zlS9P2bin
zlSdLnQLi,"孤标傲世偕谁隐,一样花开为底迟?",zlLpC9KEq
zlSd4gl3m,嗯[悲伤],zlS9P2bin
zlScZcDds,[泪],zlS9P2bin
zlScoxSU6,现在就更找不到了！,zlRz8B9Lj
zlSbqBAy2,黛玉啊！！,zlS9P2bin
zlSaIgeZ8,小时候再妈妈的影响下觉得林妹妹不好看，长大后再看时真觉得是天上的尤物，世间难得。,zlRz8B9Lj
zlSaunljG,[兔子],zlS9P2bin
zlS9P2bin,世间哪里还找得到这样的人儿！,zlLpC9KEq
zlS9h0L27,世间哪里还找得到这样的人儿！,zlReRjWDG
zlS8ln8jn,不知是黛玉造就了晓旭抑或是晓旭成就了黛玉,zlRaO9r4T
zlS89yMSd,[心][心],zlLpC9KEq
zlS7HeSqJ,花开花谢花满天，红销香断有谁怜,zlRz8B9Lj
zlS5XEn5b,曾经多爱这首诗！,zlRz8B9Lj
zlS5WbVkk,孤标傲世偕谁隐，一样花开为底迟？ 还记得吗？,zlRAV9Kv8
zlS5dgGkv,中午刚好听一同学说在看新版红楼，又想想自己也是N年没有重温，正是花谢花飞花满天，红消香断有谁怜了~,zlRaO9r4T
zlS3qqi4T,晓旭之后，再无林妹妹……,zlRaO9r4T
zlS2LEkim,天尽头，何处有香丘？,zlRz8B9Lj
zlS2wlCFH,超喜欢啊！,zlRwHCb0d
zlS0RtjuH,这才是林妹妹啊。。。。,zlRaO9r4T
zlRZP4f98,"休言举世无谈者,解语何妨片语时。",zlLpC9KEq
zlRYOogTi,明明是问菊的，为什么配的是葬花的图？,zlRaO9r4T
