source_id,comment_text,target_id
yBWNe6C4J,永远爱！！！！！！！！！！！！！！[心][心][心][心][心][心][心][心][心][心][心][心][心][心][心][心][心][心][心][心][心][心][心][心][心][心][good][good][good],yyHpl5z7q
yyZWNzfwc,你看评论！,yyHpl5z7q
yyZQ4kPJY,爱E神！[爱你]骂E神地他妈都给我去死！[怒],yyHpl5z7q
yyQH112wN,[心],yyHpl5z7q
yyO8kzaxW,杀死人的须根[酷],yyHpl5z7q
yyNo10qB9,[爱你],yyIR2grlw
yyMM6lo1c,[good][赞],yyHpl5z7q
yyMbrqKUN,[心][心][心],yyHpl5z7q
yyLXQmQYl,喜欢,yyHpl5z7q
yyLXuuE2Y,？啊？,yyHqXwuHq
yyLWKpYRN,[爱你][爱你][爱你],yyJMk4F4i
yyLL0CMSt,歌神,yyHpl5z7q
yyLKNkZ1x,[爱你][爱你][爱你][爱你][爱你][爱你][晕][爱你],yyJMk4F4i
yyLEnA3r9,陈奕迅！！,yyJMk4F4i
yyLqMf4kB,我QQ头像就是用的这张照片。,yyHpl5z7q
yyLhBpRLO,好吧，歌神,yyHpl5z7q
yyLgugEQV,大爱Eason''',yyIeU1TFT
yyLcrqKRY,"eason,大爱",yyJMk4F4i
yyKZ4z4Pg,我都不解释`,yyHpl5z7q
yyKK1FOc9,这胡子越看越喜欢啊,yyK5I6bYo
yyKDQo9u1,果断的转，爱亦神,yyJMk4F4i
yyKCUdG7X,自成风格[爱你],yyIeU1TFT
yyKv0AuLs,陈奕迅！！被他的歌感动过的爱他转发吧！！,yyJMk4F4i
yyKun0TZR,不可小看的Eason。,yyJMk4F4i
yyKqkqKX6,[爱你][爱你],yyJMk4F4i
yyKceESGT,这胡子，黏上去的吧。。,yyJMk4F4i
yyK5I6bYo,不用多说，我爱你,yyHpl5z7q
yyK2ldypI,陈奕迅！！被他的歌感动过的爱他转发吧！！,yyJMk4F4i
yyJYevpGj,大爱,yyJMk4F4i
yyJTwgEMR,[心],yyJMk4F4i
yyJT76yLx,感动过,yyHpl5z7q
yyJSAA4LF,歌神第三代。。,yyJMk4F4i
yyJSzskzc,[亲亲],yyJMk4F4i
yyJMk4F4i,陈奕迅！！被他的歌感动过的爱他转发吧！！,yyHpl5z7q
yyJJq4qfM,这图我也有,yyHpl5z7q
yyJqRttTP,爱死你了宝贝,yyIeU1TFT
yyJaP8Srn,這個造型[威武]阿！,yyHpl5z7q
yyITOtbr0,Eason[爱你][爱你],yyHpl5z7q
yyIR2grlw,[心][心][心],yyIeU1TFT
yyIsovSuH,帅shi了！,yyHpl5z7q
