source_id,comment_text,target_id,created_at
A5u2r3a9U,靠？！这消息太劲爆！,A5p0SsVY7,2013-08-19 18:05:42
A5tEutMrl,卧槽开玩笑的吧,A5qvAmJi8,2013-08-19 17:06:45
A5sElzKHz,[衰] 索尼都破产啦！,A5sl6DX5d,2013-08-19 14:33:38
A5sl6DX5d,"不创新只能死在沙滩上,还是有点突然。。。",A5nqsedz2,2013-08-19 13:46:13
A5sgbsaII,假新闻,A5qvAmJi8,2013-08-19 13:34:05
A5sbpDGqb,纳尼？,A5qvAmJi8,2013-08-19 13:22:21
A5s8OAfNn,这是怎么回事？,A5qvAmJi8,2013-08-19 13:15:56
A5rOMmgys,[睡觉]别逗了,A5re5lzaI,2013-08-19 12:26:35
A5rMrgdyu,索尼破产？？,A5nqsedz2,2013-08-19 12:20:49
A5rKnB4yP,索尼破产？？,A5nqsedz2,2013-08-19 12:15:45
A5rJDvYWX,不是已经辟谣了吗,A5qvAmJi8,2013-08-19 12:13:54
A5rx15HNd,假的，官方已僻谣,A5nFNqRln,2013-08-19 11:42:48
A5rou8tCQ,这不是真的！！！,A5olWckay,2013-08-19 11:21:48
A5re5lzaI,[打哈气]别逗了，索尼卯足劲发力安卓，怎么会破产。,A5qvAmJi8,2013-08-19 10:56:10
A5rbLt9Om,[围观],A5qBkqLqo,2013-08-19 10:50:27
A5raUiOQs,这个新闻相当有爆炸性呀,A5qvAmJi8,2013-08-19 10:48:21
A5r98kvk2,索尼破产？？,A5nqsedz2,2013-08-19 10:43:59
A5r3tAMVB,恭喜 索尼破产哈哈,A5nFNqRln,2013-08-19 10:30:03
A5r3sa2ge,兄弟 把你的v去掉吧 心酸,A5r2ouBci,2013-08-19 10:29:59
A5r2ouBci,这位邓国伟先生要惨了，还是加V的，会不会被抓进去？说严重点这属于经济犯罪啊。,A5qR3xA0I,2013-08-19 10:27:22
A5r1i1ctN,希望是真的，国产电器企业机会就是大大滴，最好去收购它[笑哈哈][给力][哈哈],A5qvAmJi8,2013-08-19 10:24:39
A5r1f2yf4,这种事，联想最拿手[哈哈]。。赶紧把翔尼拿下。。,A5qvAmJi8,2013-08-19 10:24:32
A5r0xgkBs,索尼破产？？,A5nqsedz2,2013-08-19 10:22:48
A5r0hjNyy,(⊙o⊙)…,A5olWckay,2013-08-19 10:22:10
A5qY289rR,索尼手机不是很好看啊！,A5nqsedz2,2013-08-19 10:16:38
A5qURDdyV,明显的谣言居然还有人会相信？人家都已经出来辟谣了！炒作真低级...[怒][怒],A5qIglDEJ,2013-08-19 10:08:51
A5qSMdRng,他和手机索尼不是一个公司,A5qvAmJi8,2013-08-19 10:03:41
A5qR3xA0I,谣言止于智者.,A5qFjaR5k,2013-08-19 09:59:27
A5qQLxQxg,额。。sony居然。。,A5qvAmJi8,2013-08-19 09:58:42
A5qQk34wk,谣言而已,A5qOUyiX5,2013-08-19 09:57:37
A5qPGqNVT,索尼破产？？,A5nqsedz2,2013-08-19 09:56:05
A5qOUyiX5,新的研发模式，生产模式，销售模式，倒逼着老牌硬件产商要么加速转型，要么死掉。,A5qvAmJi8,2013-08-19 09:54:09
A5qNB4AVx,驱动之家新闻没有看到呀,A5nqsedz2,2013-08-19 09:50:54
A5qNrwRrJ,刚刚问了下度娘，是谣言！！[挖鼻屎][吃惊],A5qvAmJi8,2013-08-19 09:50:35
A5qMjvuLK,已经宣布是谣言,A5qLXFRjd,2013-08-19 09:47:46
A5qLXFRjd,别去收购，让日企破产,A5qvAmJi8,2013-08-19 09:46:53
A5qLqgEt9,感觉就和华强北的公司跑路了一样突然~~~,A5qvAmJi8,2013-08-19 09:45:33
A5qK8w47y,假消息吧。这,A5qvAmJi8,2013-08-19 09:42:22
A5qJIc2eu,考虑一下啊,A5qvAmJi8,2013-08-19 09:41:21
A5qJ4hfTJ,这消息好劲爆啊，索尼也要破产了，买HTC不如买索尼，如果价格合适[偷笑],A5qvAmJi8,2013-08-19 09:39:46
A5qIglDEJ,不是吧。。SONY不是做的好好的吗？,A5qF68Pma,2013-08-19 09:37:47
A5qGYC7tz,真的假的？[吃惊],A5qvAmJi8,2013-08-19 09:34:37
A5qGVELAH,疑点：一、CCTV的T字位置错误，二、13的背景泛黄，三、右上角小c在官方节目中没有，四，北京两个字大小间隔错误，五，黄字白字字幕字体和字符集错误，六、21：10应为新闻联播节目,A5qEh3T6r,2013-08-19 09:34:30
A5qG2EoQ1,真的？,A5qBkqLqo,2013-08-19 09:32:18
A5qFCoelY,索尼凭什么要破产？！,A5qvAmJi8,2013-08-19 09:31:15
A5qFma6Sq,CCAV有立功了,A5qvAmJi8,2013-08-19 09:30:36
A5qFjaR5k,圈哥收了让圈嫂打点一下,A5qvAmJi8,2013-08-19 09:30:30
A5qF68Pma,怎么可能。。笑话,A5nqsedz2,2013-08-19 09:29:58
A5qER7k5T,是谣言,A5qEfyZuc,2013-08-19 09:29:21
A5qEMkHCx,→ →CCAV名副其实！,A5qDscoUE,2013-08-19 09:29:12
A5qEh3T6r,这图片假到家了，别黑央视了好么？,A5nqsedz2,2013-08-19 09:27:57
A5qEfyZuc,真的？[吃惊],A5qynetM9,2013-08-19 09:27:54
A5qDscoUE,央视造谣！索尼已经发布声明了！！,A5qvAmJi8,2013-08-19 09:25:58
A5qDkgHN8,不是吧[疑问],A5nqsedz2,2013-08-19 09:25:36
A5qBMdMUT,假的，已经辟谣了,A5qvAmJi8,2013-08-19 09:21:48
A5qBkqLqo,玩笑开大了吧[吃惊][吃惊],A5qvAmJi8,2013-08-19 09:20:42
A5qAXlVVr,真的假的呀,A5qvAmJi8,2013-08-19 09:19:47
A5qzCCPEP,[哼][哼],A5qvAmJi8,2013-08-19 09:16:29
A5qz43Ef6,洗牌把红桃2给洗掉了！真不真啊？,A5qvAmJi8,2013-08-19 09:15:07
A5qySvU7Z,[挖鼻屎][鼓掌][吃惊],A5nqsedz2,2013-08-19 09:14:39
A5qynetM9,纳尼！！,A5qvAmJi8,2013-08-19 09:13:24
A5qx3lPtE,索尼破产？？,A5nqsedz2,2013-08-19 09:10:09
A5qwr03rj,我擦，这是什么状况，谣言么？！[衰],A5qnE6S8F,2013-08-19 09:08:38
A5qvAmJi8,国内企业适合出手收购，索尼的专利和品牌很有价值！哪家国内企业适合出手呢？,A5nFNqRln,2013-08-19 09:06:32
A5qnE6S8F,[衰],A5pIOzf1j,2013-08-19 08:46:58
A5qlZfoBk,[害羞][害羞][害羞][害羞]这这这 好像日本国的破产和我们定义的不一样。,A5nFNqRln,2013-08-19 08:42:54
A5qlW0rMy,别吹了！我到希望破产！抵日货！,A5nqsedz2,2013-08-19 08:42:46
A5qd4nmD7,我表示：鄙视楼主,A5nqsedz2,2013-08-19 08:20:56
A5q6Y7SfI,是不是啊？,A5nqsedz2,2013-08-19 08:05:53
A5q6w3pmI,怎么可能，谣言啊[挖鼻屎],A5nqsedz2,2013-08-19 08:04:46
A5pZa9WLp,谣言，已辟谣,A5olWckay,2013-08-19 07:46:39
A5pYU9xqH,虽然我抵制日货希望他破产，但这确实是个谣言。(索尼昨回应:申请破产是谣言-2013年08月19日 07:20 来源：广州日报),A5nqsedz2,2013-08-19 07:46:02
A5pWK3qY5,额。这年头啥都有假的,A5nOaAcIU,2013-08-19 07:40:41
A5pSSEFn1,已经被证实是假新闻,A5nOaAcIU,2013-08-19 07:31:12
A5pQZCYo0,索尼申请破产?,A5nqsedz2,2013-08-19 07:26:32
A5pONrmOE,我和我的小伙伴都惊呆了！,A5nFNqRln,2013-08-19 07:21:07
