source_id,comment_text,target_id,created_at
ldAyn0,路过,iXmyQf,2011-06-28 10:10:45
kwyaB3,挺实诚的 ，兄弟太有才了！,iXmyQf,2011-06-21 16:53:45
kw1o8A,没有遗憾，给你再多幸福也不会体会快乐。,iXmyQf,2011-06-21 13:45:34
kvlFfw,舍得！,ku97sV,2011-06-21 11:58:53
kv8NK0,大赞。,ku97sV,2011-06-21 10:51:02
kv7JBC,喜欢！,ku97sV,2011-06-21 10:45:23
kv1mHb,嗯。。,ku97sV,2011-06-21 10:11:05
kuDEDW,舍得酒，来一杯,kuaNPT,2011-06-21 09:51:38
kuBqs0,人生是一个不断放弃又不断经历的过程，放下才能新生,iXmyQf,2011-06-21 09:40:16
kut3OS,舍得,ku97sV,2011-06-21 08:50:07
kur5y7,爱因为不能拥有而深刻，梦因为不能圆而美丽。人生，总是带着残缺的美，因缺憾而凄美。,iXmyQf,2011-06-21 08:35:58
kuqsle,友人所赠“舍得”二字，有舍才会有得,ku97sV,2011-06-21 08:30:49
kupN8q,给舍得酒做广告？,ku97sV,2011-06-21 08:25:29
kuaNPT,心怀大舍，行求必得；综使不得，心未有失！/: 何必执着于得呢，舍也是得，你的舍是他的得，今日之舍是明日之得，皮囊之舍是心智之得。舍得之辩，随心而定，浮萍随波，笑容依然,ku97sV,2011-06-21 02:11:49
ku9cGk,图片不错,ku97sV,2011-06-21 01:43:30
ku97sV,何必执着于＂得＂呢？…舍也是得，你的舍是他的得，今日之舍是明日之得，皮囊之舍是心智之得。舍得之辩，随心而定，浮萍随波，笑容依然,iXmyQf,2011-06-21 01:42:20
kte60W,凄美？我不喜欢~~~~,iXmyQf,2011-06-20 22:09:04
j26WL6,我为什么没有早点遇到你！,iXmyQf,2011-06-05 21:57:50
j1y7nA,哈哈哈哈,iXmyQf,2011-06-05 21:09:10
iZwylw,人生，总是带着残缺的美，因缺憾而凄美。,iXmyQf,2011-06-05 14:58:30
iZvRQ6,要是允许贪心~该有多好……,iXmyQf,2011-06-05 14:54:44
iZoBdC,放弃、、、,iXmyQf,2011-06-05 14:33:25
iZkyhw,不放弃就没有了,iXmyQf,2011-06-05 14:14:12
iZj9t4,缺憾美!,iXmyQf,2011-06-05 14:07:04
iZ9t3e,。。。。。。。,iXmyQf,2011-06-05 13:25:30
iZ8wAC,人生就是一个不停放弃的过程,iXmyQf,2011-06-05 13:22:47
iZ8pE4,当然可以，才不要接受命运安排。,iYEpG6,2011-06-05 13:22:27
iZ5WaM,人生总有缺憾,iXmyQf,2011-06-05 13:15:02
iYEpG6,我地可以該寫自己的人生[[吃惊]衰],iXzEf2,2011-06-05 12:52:34
iYzihi,学会选择，懂得放弃,iXmyQf,2011-06-05 12:33:24
iYy7c6,双手能抓住的东西有限，只有舍弃一些，才能抓住另一些！,iXmyQf,2011-06-05 12:28:48
iYwXP6,走向知性~,iXmyQf,2011-06-05 12:23:40
iYwQUW,制衡,iXmyQf,2011-06-05 12:23:11
iYtgUo,有舍才有得。,iXmyQf,2011-06-05 12:06:29
iYsU9Y,失去不是完全失去，必定會有其他收穫,iXmyQf,2011-06-05 12:04:45
iYlxIE,什么都参透了，没劲！！！不管你参透了什么，每天还得吃喝拉撒睡，把握当下吧，这一秒，这一分，这一刻的实在。。。。,iYiJxy,2011-06-05 11:28:50
iYjsWM,残缺的美,iXmyQf,2011-06-05 11:18:41
iYiJxy,人生就是拥有后再放弃的过程，没有什么你能抓住不放 ，什么都不会永远属于你…最后回归于原点…什么都是曾经拥有，所以拥有时要珍惜…,iXmyQf,2011-06-05 11:15:04
