source_id,comment_text,target_id,created_at
AsbFj8Clc,荷兰籍反化人士“李剑芒”在新浪组织的所谓“铁骑军”是什么组织？有没有到中国相关机关报备，若无报备则属于非法组织，李剑芒被新浪封杀几十次，为何可以重注新号就能死而不僵、卷土重来？请 及国家安全委员会予以处理。敬请爱国同胞呼吁声讨！,Asb0Ue2Yh,2014-01-16 01:36:16
AtZ8QjY1v,恶心的要命，今天又见到 祭出这个网络黑社会僵尸军了。见,Asb0Ue2Yh,2014-01-27 21:23:57
AsLXMmlqi,你说了一大堆废话，问你一个问题，你不回答，是不是说你就是哑巴了？你要么正面回答我刚才的问题，要么就闭嘴，不然没有小JJ。,Asb0Ue2Yh,2014-01-19 22:00:41
AsLQChbQn,得!又活活问残废一个气壮如路易威登的废物····[哈哈],AsLPjzgzw,2014-01-19 21:43:02
AsLPjzgzw,关键的话不敢说就是认怂，废话说的越多就越是废物。,Asb0Ue2Yh,2014-01-19 21:39:50
AsLJsqw09,请问，哪个政权是独裁政权？,Asb0Ue2Yh,2014-01-19 21:25:24
AsLHHF0Z6,好啊，你终于承认自己吃榕氏毒枣了。难怪。,Asb0Ue2Yh,2014-01-19 21:21:05
AsCG6wu1s,转发就是力量。,Asb0Ue2Yh,2014-01-18 22:22:24
Asq3jpJkY,实地到公安举报“铁骑军”试试，看看人家是否说你神经病,AsfRhksjY,2014-01-17 14:13:52
AsjRV9H6k,原来如此。怎么养僵尸？,Asb0Ue2Yh,2014-01-16 22:29:19
AsjKXrkXu,赵士林 我太阳你py,Asj0iz08M,2014-01-16 22:12:11
AsjAD4DjL,哦，您还跪皇上呢。拜死人，还是拜鬼？[挖鼻屎],Asb0Ue2Yh,2014-01-16 21:46:44
AsjozbVVK,或许水军是新浪的盈利模式？,Asb0Ue2Yh,2014-01-16 21:17:01
Asjew3ZN7,不仅是只使用铁骑军吧？有粉丝投票，居然没见票数上涨。,Asj0iz08M,2014-01-16 20:52:14
AsjagcvM4,[哈哈]铁骑军？其实就是一坨坨狗屎！,Asb0Ue2Yh,2014-01-16 20:41:45
Asj6WbK9o,他就不累啊！,AsbFj8Clc,2014-01-16 20:33:34
Asj0iz08M,开腹五千万僵尸长都被打的称患癌'逃离大陆，四万？算个毛！,Asb0Ue2Yh,2014-01-16 20:17:14
AsihPmEf1,喊别人是一小撮的其实是他们自己,AshzsC6Hw,2014-01-16 18:27:39
Asi9aoGuL,046: 呵呵，大妹子，哥哥就是李吉柯德呀。你们玩造假人民网，我冲着你们这些毛左大风车冲锋。虽然没事儿老挂帐号，但还是好玩！,Asb0Ue2Yh,2014-01-16 18:06:20
Asi0Z60Ok,愿赌服输！有点志气，不要找借口，把失去的面子找回来，像个男人！噢！对不起，我忘了你是女人了！,Asb0Ue2Yh,2014-01-16 17:46:09
AshLzrfWU,[围观],Asb0Ue2Yh,2014-01-16 17:08:12
AshHl5Z3p,这个绝对不是伪造民意！！！[偷笑],Asb0Ue2Yh,2014-01-16 16:57:46
AshDr0Ey2,平时·都可以看出来公知没有几个脑残粉不少,Asb0Ue2Yh,2014-01-16 16:48:09
AshCLlyJk,当汉奸的走狗丢人不,AshAxE5mr,2014-01-16 16:46:30
AshAxE5mr,普及常识：铁骑军是专打毛左以及五毛逼脸的网友自发组成的，无领导，无严密组织，只要毛左犯病，铁骑军就出动,Asb0Ue2Yh,2014-01-16 16:41:01
AshzBatKK,[哈哈],Asb0Ue2Yh,2014-01-16 16:38:42
AshzsC6Hw,乌云密布嘛，水军满天飞。,Asb0Ue2Yh,2014-01-16 16:38:21
Ash0DqxjT,渣浪这是自寻死路啊。,Asb0Ue2Yh,2014-01-16 15:12:34
AsgxZdkPj,是的，其实不可怕。看起来水军很多，但往往是一个人注册一堆号，折算下来没几个人。,Asb0Ue2Yh,2014-01-16 14:01:59
AsgwEty2e,一些人正事做不来，就会出卖自己的良知赚钱，水军就是这么一个行业，公知和水军基本没有良知，该立法了。但是揭露水军，必然会招致水军的强烈反弹，因为这是断了他们的财路啊。,Asb0Ue2Yh,2014-01-16 13:58:42
AsgpUmbg8,你急什么？你的皇上还没急呢。,Asb0Ue2Yh,2014-01-16 13:42:05
AsgpxA1cD,不知道有没有关系。有的人即使输了，但输得悲壮，输的让人钦佩；有的人就输不起。[挖鼻屎],Asb0Ue2Yh,2014-01-16 13:41:11
AsgmvmmOO,俺觉得这个“游戏”比您报告公安啥的要高尚，更能见光。[挖鼻屎],AsbFj8Clc,2014-01-16 13:33:42
AsgkahqyQ,一个人能认输需要勇气的。[挖鼻屎],Asb0Ue2Yh,2014-01-16 13:27:56
Asgiqriep,您也搞个投票啥的，看看能赢李剑芒不.[挖鼻屎],AsbFj8Clc,2014-01-16 13:23:39
AsgfjdkTa,[话筒],AsgaH8Jvg,2014-01-16 13:15:57
AsgaH8Jvg,汉奸的铁骑军就是一大堆僵尸啊。。。。李剑芒忒二。,Asb0Ue2Yh,2014-01-16 13:04:36
AsfV32ODz,媣稥军团( )中国网义军军团( );公知病院军团(,AsfRhksjY,2014-01-16 12:26:03
AsfRhksjY,[话筒]荷兰籍反化人士“李剑芒”在新浪组织的所谓“铁骑军”是什么组织？有没有到中国相关机关报备，若无报备则属于非法组织，李剑芒被新浪封杀几十次，为何可以重注新号就能死而不僵、卷土重来？请 及国家安全机关会予以处理。敬请爱国同胞呼吁声讨！,AsbFj8Clc,2014-01-16 12:16:46
Asfiv9WEp,愿赌服输，大家都靠刷，刷不过别人有什么好说的,Asb0Ue2Yh,2014-01-16 10:51:04
AseW9f2eV,支持一个你们不支持的人，就是网络黑社会，乱扣帽子，乱打棍子，你们什么时候从文革思维里跳出来，什么时候就成人了,Asb0Ue2Yh,2014-01-16 09:56:01
AseJbuGFh,好多殭屍呀！荷蘭人了我呸[吐][吐],Asb0Ue2Yh,2014-01-16 09:24:04
AseBRBGqT,芒A045: 呵呵，“反化人士”是干啥买卖的？请 调查研究一下。[哈哈],AsbFj8Clc,2014-01-16 09:06:02
Asez3AuMp,转，,Asb0Ue2Yh,2014-01-16 08:59:08
AseyjtHk3,同意楼主的意见。新浪微博是应该改进。对待这种死不改悔的极右甚至是汉奸卖国者，应该终身禁入微博。此外，我作为非直接当事人，多次举报违规现象遭驳回，这很不应该啊！不利于网络监督工作，怎么就不能以旁观人身份举报违规现象？,AsbFj8Clc,2014-01-16 08:57:18
Asexay2ph,说的是，说的是。不去号召解聘大骂“去你妈的，滚你妈的，操你妈的”，被法庭判处过的北大教授,AscuCE72J,2014-01-16 08:54:29
AsetdAVQb,是啊，观看闹剧上演。,Asessn782,2014-01-16 08:44:45
Asessn782,有喜感，这么多的“真实读者”。原来他们依靠这玩意儿。,AsbJGovBi,2014-01-16 08:42:52
AsequAmTZ,爷我也干过铁骑军，楼主这傻逼怎么着,Asb0Ue2Yh,2014-01-16 08:38:02
Asekz0cIc,[带着微博去旅行],Asb0Ue2Yh,2014-01-16 08:23:25
AsekoDiN3,偶神马时候加入铁骑军，自己也不知道啊，荣耀啊欧耶[哈哈],Asb0Ue2Yh,2014-01-16 08:23:01
AsegPlWOx,五毛就是这么拽,AscuCE72J,2014-01-16 08:14:13
AsecDzoHe,五毛脑残输了，世界就清静了，人类文明就迈向下一个时代了，他们就再也不能祸害人间了，它们输不起,Asb0Ue2Yh,2014-01-16 08:03:53
Ase2N7jKR,干掉毛粪，就是正义,AscuCE72J,2014-01-16 07:39:38
AsdZvucYQ,还投票专业户，真逗。踩死这些臭虫。,Asb0Ue2Yh,2014-01-16 07:31:33
AsdShi7Da,借此让大家了解一下所谓的民主投票的真相也未尝不是一件好事。,AscuCE72J,2014-01-16 07:13:43
AsdS2uUFw,[怒],Asb0Ue2Yh,2014-01-16 07:13:08
AsdIH0CCS,看你们活蹦乱跳真是欢乐,Asb0Ue2Yh,2014-01-16 06:50:07
AsdEdgrdQ,我们每一个投票的都是活生生的人，跟毛左的机器人不同[哼],Asb0Ue2Yh,2014-01-16 06:39:05
AsdyjpRE4,后面都是投票机器呀！,AsbJGovBi,2014-01-16 06:24:32
AsdvJ1Sxk,顶起,AsbFj8Clc,2014-01-16 06:18:09
Asdu5kYDh,既不是慈心，也不明了！,Asb0Ue2Yh,2014-01-16 06:14:07
AsdqAaePx,個人認爲get lost！比較好些，當然意思是一樣。,Asb0Ue2Yh,2014-01-16 06:05:30
Asdlr4l8C,太棒,Asb0Ue2Yh,2014-01-16 05:52:49
AsdaJo3zc,老李一招呼，就跟着老李投票的就是铁骑军的话，那我算是一个。毛左们爱咋咋滴。,Asb0Ue2Yh,2014-01-16 05:26:26
Asd5bmJ7Z,[嘻嘻],Asb0Ue2Yh,2014-01-16 05:12:47
AscuCE72J,对于这种网络投票游戏，不玩、不理、不落套，即使有千万黑铁骑，又有何用？,Asb2VvK2X,2014-01-16 03:42:43
Asciu3S5X,投票专业户,Asb0Ue2Yh,2014-01-16 03:12:48
AsbVsz90c,文革余孽自干五牲畜输不起满地打滚了？,Asb0Ue2Yh,2014-01-16 02:16:05
AsbPpxPwr,反HUA,AsbFj8Clc,2014-01-16 02:01:10
AsbPpgekz,[围观],Asb0Ue2Yh,2014-01-16 02:01:10
AsbOKdzOb,强烈呼吁,AsbFj8Clc,2014-01-16 01:59:31
AsbOzxkjw,这才是自带五毛,Asbq81b5m,2014-01-16 01:59:07
