source_id,comment_text,target_id,created_at
yCvbWoh3k,学习,yzYq9icYQ,2012-09-19 00:13:19
yC2AcA6QS,黄药师，慢了点...,yyxtp8Jmj,2012-09-15 23:23:26
yBOguvQcH,想起高中时非得问音乐老师哆唻咪都是多少赫兹的频率,yBO5n89SK,2012-09-14 10:56:24
yBO5n89SK,刹那之间，不复从前。,yzYq9icYQ,2012-09-14 10:29:00
yBnIKd1yv,[微风][微风][微风],yzYq9icYQ,2012-09-11 15:21:51
yAObFyo62,弹指，刹那有多久,yzYq9icYQ,2012-09-07 20:54:12
yALwQ0QU1,谢谢分享,yzYq9icYQ,2012-09-07 14:08:08
yAveEFpvw,弹指一瞬间是什么情况,yAuVKqvPl,2012-09-05 20:39:24
yAuVKqvPl,扫盲了,yAtEK6DHu,2012-09-05 19:52:49
yAtEK6DHu,记得某人跟我讲过,yzYq9icYQ,2012-09-05 16:38:11
yArVhD5vR,OMG，原来如此,yyxtp8Jmj,2012-09-05 12:13:24
yArJEifEa,[good],yyxtp8Jmj,2012-09-05 11:44:44
yArHA539K,[奥特曼],yyxtp8Jmj,2012-09-05 11:39:40
yArGyh1sN,学习了[good],yyxtp8Jmj,2012-09-05 11:37:08
yArnQ7VWB,好东西,yyxtp8Jmj,2012-09-05 10:51:02
yArmZ0g34,原来如此…,yyxtp8Jmj,2012-09-05 10:48:55
yAmHyABTJ,一刹那，悟到了。。。,yyxtp8Jmj,2012-09-04 22:55:53
yAmC32pfB,[微风][微风][微风]一念，念念不忘,yzYq9icYQ,2012-09-04 22:42:16
yAlnjgVm2,图真美,yzYq9icYQ,2012-09-04 19:33:15
yAgIztD1Y,原来弹指间和瞬间都有时间量化，弹指＝7.2秒，瞬间＝0.36秒。,yzYq9icYQ,2012-09-04 07:41:53
yAaCYyWsx,佛经里说：弹一指头的时间有六十刹那。（赵老书，P34）,yyxtp8Jmj,2012-09-03 16:11:35
yA8UA0Ljs,原来：弹指一挥间=7.2秒[哈哈][哈哈],yzYq9icYQ,2012-09-03 11:49:29
